tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bulgar Eksharhanesi (Bulgar Klisesi) Bahçesi,İSTANBUL,HALASKARGAZİ,ŞİŞLİ,MERKEZ,28.988165209958648,41.05728441117499,151350552,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Galatasay İlköğretim Okulu Bahçesi,İSTANBUL,KÜÇÜK BAHÇE,ŞİŞLİ,MEŞRUTİYET,28.988165209958648,41.05728441117499,151350601,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Lider Şişli Koleji Bahçesi ve Yanı,İSTANBUL,İZZETPAŞA,ŞİŞLİ,CUMHURİYET,28.988165209958648,41.05728441117499,151350589,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Muharrem Kurt Parkı,İSTANBUL,KÜÇÜK BAHÇE,ŞİŞLİ,19 MAYIS,28.989356519917298,41.05728441117499,151350637,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Hayrettin Karaca Parkı,İSTANBUL,KÜÇÜK BAHÇE,ŞİŞLİ,19 MAYIS,28.990547829875947,41.05728441117499,151350638,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Adile Naşit Parkı,İSTANBUL,YENİ İLHAN,ŞİŞLİ,19 MAYIS,28.991739139834596,41.05728441117499,151350636,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Celal Atik Parkı (979/41),İSTANBUL,BİNBAŞI REFİK,ŞİŞLİ,19 MAYIS,28.992930449793246,41.05728441117499,151350642,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Albay Sadi Alantar Sokak Çocuk Parkı,İSTANBUL,YENİ İLHAN,ŞİŞLİ,MEŞRUTİYET,28.992930449793246,41.05728441117499,151350600,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Resneli Niyazi Bey İlköğretim Okulu ve Lojman Bahçesi,İSTANBUL,ÇORUH,ŞİŞLİ,19 MAYIS,28.994121759751895,41.05728441117499,151350639,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Şehit J.Komd.Çvş.Ümit Sabri Mıhçılar Çocuk Parkı,İSTANBUL,FULYA BAYIRI,ŞİŞLİ,FULYA,28.995313069710544,41.05728441117499,151350645,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
Şişli Merkez Cami Yanı,İSTANBUL,HALASKARGAZİ,ŞİŞLİ,MERKEZ,28.98816522622832,41.05818272234998,151350549,"[<POLYGON ((28.996 41.057, 28.997 41.057, 28.997 41.056, 28.997 41.057, 28.99...>, <POLYGON ((29.08 40.976, 29.08 40.975, 29.081 40.975, 29.081 40.974, 29.082 ...>, <POLYGON ((28.603 41.061, 28.601 41.062, 28.6 41.062, 28.598 41.062, 28.596 ...>]"
