tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gökçeali İlkokulu Bahçesi,İSTANBUL,GÖÇMEN ÇIKMAZI,ÇATALCA,GÖKÇEALİ,28.426621776033205,41.221650711174995,151347096,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Yedievler Sokak Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,SUBAŞI,28.426621776033205,41.221650711174995,151347088,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Gökçeali Mahallesi Yeşil Alan (112 Ada 49 Parsel),İSTANBUL,GÖÇMEN ÇIKMAZI,ÇATALCA,GÖKÇEALİ,28.426621776033205,41.221650711174995,151347095,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Akkaya Sokak Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,SUBAŞI,28.429010374380322,41.221650711174995,151347089,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Belediye Düğün ve Spor Alanı,İSTANBUL,GÖÇMEN ÇIKMAZI,ÇATALCA,AKALAN,28.424234063587072,41.22344733352498,151347106,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
İnceğiz Yeşil Alan,İSTANBUL,SÜMER,ÇATALCA,İNCEĞİZ,28.415874395976694,41.225243955874966,151347105,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,MELEKOTU,ÇATALCA,KABAKÇA,28.41109824955482,41.22973551174993,151347084,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
İhsaniye Meydanı,İSTANBUL,ZAMBAK,ÇATALCA,İHSANİYE,28.39795966249627,41.2333287564499,151347061,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Şamdan Sokak Spor Alanı,İSTANBUL,MEZARLIK,ÇATALCA,KALFA,28.41110324081098,41.24680342407479,151347087,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Pınarca Caddesi Spor Alanı,İSTANBUL,ZAMBAK,ÇATALCA,İHSANİYE,28.393182055962573,41.257583158174704,151347060,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
Karacaköy Caddesi Spor Alanı,İSTANBUL,KALFAKÖY,ÇATALCA,DAĞYENİCE,28.42186634189526,41.26926120344961,151347066,"[<POLYGON ((28.446 41.257, 28.446 41.257, 28.445 41.257, 28.445 41.257, 28.44...>]"
