tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Beşiktaş Spor Yazarları Derneği,İSTANBUL,EBULULA MARDİN,BEŞİKTAŞ,LEVENT,29.02354015259909,41.07793741117499,151346455,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Dilek Sabancı Parkı,İSTANBUL,EBULULA MARDİN,BEŞİKTAŞ,LEVENT,29.02354015259909,41.07793741117499,151346451,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Alman Deresi Yürüyüş Parkuru,İSTANBUL,MEYDAN,BEŞİKTAŞ,AKAT,29.02354015259909,41.07793741117499,151346446,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Sanatçılar Parkı,İSTANBUL,SELÇUKLAR,BEŞİKTAŞ,AKAT,29.025923520998482,41.07793741117499,151346445,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Prof. Dr. Aykut Barka Parkı,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,KÜLTÜR,29.02711520519818,41.07793741117499,151346434,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Etiler Çamlık Park,İSTANBUL,TEPECİK YOLU,BEŞİKTAŞ,ETİLER,29.02949896449433,41.08063234469997,151346425,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Levent Huzurevi Parkı,İSTANBUL,EBULULA MARDİN,BEŞİKTAŞ,LEVENT,29.022348598701264,41.081530655874964,151346454,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Özlem 1-2 Parkı,İSTANBUL,CEBECİ,BEŞİKTAŞ,AKAT,29.028307345454422,41.081530655874964,151346447,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
İsmet İnönü (Çilekli ) Spor Tesisleri Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,EBULULA MARDİN,BEŞİKTAŞ,LEVENT,29.02234866386106,41.08332727822495,151346450,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Geylani Sitesi Yanı Yeşil Alanı,İSTANBUL,TEPECİK YOLU,BEŞİKTAŞ,ETİLER,29.033075238865067,41.08602221174993,151346427,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Sporcular Parkı,İSTANBUL,UĞUR MUMCU,BEŞİKTAŞ,KONAKLAR,29.021156947099186,41.08692052292492,151346433,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
Oyak Parkı,İSTANBUL,UĞUR MUMCU,BEŞİKTAŞ,KONAKLAR,29.021157012279655,41.09051376762489,151346430,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
İTÜ Stadyumu,İSTANBUL,BALTALİMANI ÇAYIR,SARIYER,REŞİTPAŞA,29.023540983518284,41.09320870114987,151348895,"[<POLYGON ((29.023 41.094, 29.023 41.094, 29.022 41.094, 29.021 41.092, 29.02...>]"
