tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Özel Gülşen Apaydın Anaokulu Bahçesi,İSTANBUL,MEHMET YAVUZ,BEYKOZ,MERKEZ,29.10432934198314,41.140362811174995,151346487,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Ayazma Parkı,İSTANBUL,MEHMET YAVUZ,BEYKOZ,MERKEZ,29.10432934198314,41.140362811174995,151346486,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Akbaba Köy Parkı,İSTANBUL,KAYMAKDONDURAN,BEYKOZ,AKBABA,29.10432934198314,41.140362811174995,151346634,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Cevizlibahçe Parkı,İSTANBUL,ŞAHİNKAYA,BEYKOZ,ORTAÇEŞME,29.10432947268722,41.14126112234999,151346501,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Halı Saha.,İSTANBUL,GÜRSEL ÇIKMAZI,BEYKOZ,AKBABA,29.1091012011698,41.14305774469997,151346633,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
23 Nisan 100. Yıl Çocuk Parkı,İSTANBUL,GÜRSEL ÇIKMAZI,BEYKOZ,AKBABA,29.11029406793395,41.14305774469997,151439797,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Özel Beykoz Doğa İlkokulu-Ortaokulu Bahçesi,İSTANBUL,KARAKULAK,BEYKOZ,DERESEKİ,29.11506664620208,41.146650989399944,151346608,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Dereseki Futbol Sahası ve Çevresi,İSTANBUL,KARAKULAK,BEYKOZ,DERESEKİ,29.122224614872817,41.14754930057494,151346607,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
0/435-14-15 Parsellerde Bulunan İBB'ye Ait Boş Alan,İSTANBUL,EMİN ALİ GÜRKAN,BEYKOZ,TOKATKÖY,29.097172729633343,41.14844761174993,151346497,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Palamar Çeşmesi Parkı,İSTANBUL,AKBABA,BEYKOZ,ORTAÇEŞME,29.097172729633343,41.14844761174993,151346508,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Şehit Çavuş İlhan Karademir Parkı,İSTANBUL,KİBAR ÇIKMAZI,BEYKOZ,TOKATKÖY,29.09717282770587,41.15114254527491,151346499,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
Şehit Bayram Top Parkı,İSTANBUL,KİBAR ÇIKMAZI,BEYKOZ,TOKATKÖY,29.099559051583476,41.153837478799886,151346498,"[<POLYGON ((29.124 41.147, 29.124 41.148, 29.124 41.148, 29.124 41.149, 29.12...>]"
