tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
6. Cadde Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41955032649086,40.91150401117499,151349536,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Fırat Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41955032649086,40.91150401117499,151349537,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Şehit J. Er Murat Aşçı Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41955032649086,40.91150401117499,151349539,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Sosyal Tesisler Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.417173306826694,40.91240232234998,151349538,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Medeniyet Bulvarı Parkı,İSTANBUL,SÜLEYMANİYE,TUZLA,TEPEÖREN,29.404099271086764,40.92138543409991,151349557,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Eski Ankara Asfaltı Caddesi Parkı,İSTANBUL,NERGİZ,TUZLA,TEPEÖREN,29.39577790168155,40.933063479374816,151349555,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Göçbeyli Mahallesi Spor Tesisi,İSTANBUL,ATAYURT,PENDİK,GÖÇBEYLİ,29.445728914114927,40.945639835824714,151350288,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Göçbeyli İlkokulu Bahçesi,İSTANBUL,ATAYURT,PENDİK,GÖÇBEYLİ,29.446918207761925,40.945639835824714,151350287,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
KADILLI İLKOKULU,KOCAELİ,3853.,GEBZE,KADILLI,29.450487674215797,40.9474364581747,151576213,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Ballıca Mahallesi 173 Parsel Kamuya Ait Boş Arazi,İSTANBUL,KUTLUHAN,PENDİK,BALLICA,29.401726343706635,40.95462294757464,151350285,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Ballıca İlkokulu Bahçesi,İSTANBUL,KUTLUHAN,PENDİK,BALLICA,29.405295244247718,40.95731788109962,151350284,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
OVACIK MESİRE ALANI,KOCAELİ,4330.,GEBZE,OVACIK,29.45406575093984,40.95821619227461,151576228,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
Ballıca Mahallesi 376 Parsel Kamuya Ait Boş Arazi,İSTANBUL,KUTLUHAN,PENDİK,BALLICA,29.407674883647953,40.9600128146246,151350286,"[<POLYGON ((29.457 40.954, 29.456 40.955, 29.455 40.956, 29.455 40.957, 29.45...>]"
