tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Park Bahçeler Müdürlüğü Arıtma Tesisi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.228090670858943,40.960852111174994,151350500,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Pehlivanlar Çocuk Bahçesi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.228090670858943,40.960852111174994,151350499,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Fatih Sultan Mehmet Han Cami Bahçesi,İSTANBUL,ŞEHİT HASAN ÇELİK,SANCAKTEPE,AKPINAR,29.228090670858943,40.960852111174994,151350502,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Rıza Çalımbay Spor Parkı,İSTANBUL,GÜLHANE,SANCAKTEPE,VEYSEL KARANİ,29.22928023857368,40.960852111174994,151350544,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Erikli Pınar Camii Bahçesi,İSTANBUL,GÜLHANE,SANCAKTEPE,VEYSEL KARANİ,29.230469806288415,40.960852111174994,151350395,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Kaplan Parkı,İSTANBUL,SELAHADDİN EYYUBİ,SANCAKTEPE,FATİH,29.22452200009696,40.96264873352498,151350546,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Menekşe Parkı,İSTANBUL,CESUR,SANCAKTEPE,AKPINAR,29.224522016289175,40.96354704469997,151350495,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Sancaktepe Anadolu Lisesi Bahçesi,İSTANBUL,GÜLHANE,SANCAKTEPE,VEYSEL KARANİ,29.23403894660257,40.96354704469997,151350396,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Hasan Basri Parkı,İSTANBUL,MALKOÇOĞLU,SANCAKTEPE,AKPINAR,29.22809092992848,40.964445355874965,151350497,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
Cengiz Topel İlkokulu Bahçesi,İSTANBUL,KAMURAN,SANCAKTEPE,AKPINAR,29.23284945985696,40.964445355874965,151350501,"[<POLYGON ((29.239 40.976, 29.237 40.976, 29.235 40.976, 29.234 40.976, 29.23...>, <POLYGON ((28.788 41.248, 28.788 41.248, 28.788 41.248, 28.789 41.248, 28.79...>]"
