tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gümüşler Sokak Çocuk Parkı Ve Spor Sahası,İSTANBUL,GÜMÜŞLER,SİLİVRİ,GAZİTEPE ,28.298303122867445,41.13593041117499,151349092,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Gülbahçe Sokak Çocuk Parkı,İSTANBUL,KADIKÖY,SİLİVRİ,KAVAKLI HÜRRİYET,28.298303122867445,41.13593041117499,151349178,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Terzi / Rezene Sokak Çocuk Parkı,İSTANBUL,1 KASIM,SİLİVRİ,KAVAKLI İSTİKLAL,28.298303122867445,41.13593041117499,151349139,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Cumhuriyet Parkı,İSTANBUL,EROĞLU ÇIKMAZI,SİLİVRİ,YENİ ,28.294724960436785,41.13682872234998,151349164,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Mustafa Kemal Caddesi Parkı,İSTANBUL,DİNÇER,SİLİVRİ,FENER,28.294724960436785,41.13682872234998,151349075,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Sağlık Caddesi Çocuk Parkı,İSTANBUL,DİNÇER,SİLİVRİ,AKÖREN,28.297111039200853,41.14311690057493,151349124,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,YENİÇİFTLİK,SİLİVRİ,KADIKÖY,28.311425453282904,41.14311690057493,151349093,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Leyla Kavak Caddesi Spor Sahası,İSTANBUL,YAVUZLAR,SİLİVRİ,AKÖREN,28.301883393036846,41.14850676762489,151437334,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Sancaktar Caddesi Süleymaniye Sokak Çocuk Parkı,İSTANBUL,EMİR KÜLAL,SİLİVRİ,KURFALLI,28.298305476241772,41.157489879374815,151349120,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Sancaktar Caddesi Kurfallı Meydanı,İSTANBUL,EMİR KÜLAL,SİLİVRİ,KURFALLI,28.292339862078656,41.1592865017248,151349121,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
İncirli Caddesi Çocuk Parkı,İSTANBUL,İNCİRLİ,SİLİVRİ,BEKİRLİ,28.303081429243917,41.17635441404966,151349160,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,HANİCE,ÇATALCA,KABAKÇA,28.34008244558753,41.180845969924626,151347084,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Arif Nihat Asya Parkı (İnceğiz Meydan),İSTANBUL,MEDDAH,ÇATALCA,İNCEĞİZ,28.362761950842284,41.18264259227461,151347104,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
İnceğiz Yeşil Alan,İSTANBUL,MEHTER ÇIKMAZI,ÇATALCA,İNCEĞİZ,28.36754258881261,41.18803245932457,151347105,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
İhsaniye Meydanı,İSTANBUL,BEYPINARLAR,ÇATALCA,İHSANİYE,28.355636708307244,41.21947335044931,151347061,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
Pınarca Caddesi Spor Alanı,İSTANBUL,BEYPINARLAR,ÇATALCA,İHSANİYE,28.338922982819,41.22755815102425,151347060,"[<POLYGON ((28.378 41.201, 28.377 41.202, 28.376 41.202, 28.376 41.204, 28.37...>]"
