tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,EKŞİOĞLU,29.24742825402585,41.028299811174996,151347262,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Şehit Er İbrahim Doğan Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,EKŞİOĞLU,29.24742825402585,41.028299811174996,151347265,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Malazgirt Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,EKŞİOĞLU,29.24742825402585,41.028299811174996,151347263,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Sancaktepe Belediyesi Kreş Arka Tarafı,İSTANBUL,ŞİLE,SANCAKTEPE,HİLAL,29.248619039428434,41.028299811174996,151350530,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Şehit Zafer Korkmaz Parkı,İSTANBUL,KARŞIYAKA,SANCAKTEPE,YUNUS EMRE,29.253382181038774,41.028299811174996,151350462,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Lokman Ceylan Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.25457296644136,41.028299811174996,151347188,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Ayşe Çarmıklı  İlkokul ve Ortaokulu Bahçesi,İSTANBUL,KARŞIYAKA,SANCAKTEPE,YUNUS EMRE,29.255763751843944,41.028299811174996,151350466,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Nişantepe İlkokulu Bahçesi,İSTANBUL,ORMAN,ÇEKMEKÖY,NİŞANTEPE,29.256955414564842,41.030994744699974,151347186,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,EKŞİOĞLU,29.24266569733414,41.03368967822495,151347264,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Şehit Turan Çamur Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,EKŞİOĞLU,29.23671131539039,41.03548630057494,151347266,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Cemal Güngör Parkı,İSTANBUL,ATABEY,ÇEKMEKÖY,TAŞDELEN,29.23671131539039,41.03548630057494,151347274,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,ATABEY,ÇEKMEKÖY,ALEMDAĞ,29.23671133164218,41.03638461174993,151347170,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Erguvan Parkı,İSTANBUL,ATABEY,ÇEKMEKÖY,ALEMDAĞ,29.236711347894705,41.03728292292492,151347168,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
İspinoz Parkı,İSTANBUL,ATABEY,ÇEKMEKÖY,ALEMDAĞ,29.23671136414797,41.038181234099916,151347169,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Nişantepe Parkı,İSTANBUL,ORMAN,ÇEKMEKÖY,NİŞANTEPE,29.25457608643144,41.03907954527491,151347189,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Üsküdar Parkı,İSTANBUL,113.,ÇEKMEKÖY,ALEMDAĞ,29.241475464560864,41.040876167624894,151347171,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Alemdar Çatalmeşe İlkokulu Bahçesi,İSTANBUL,222.,ÇEKMEKÖY,ÇATALMEŞE,29.246239516209556,41.040876167624894,151347227,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Ubeydullah Cami Bahçesi,İSTANBUL,222.,ÇEKMEKÖY,ÇATALMEŞE,29.24743052912173,41.040876167624894,151347226,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Dr.Yavuz Kalaycı Parkı,İSTANBUL,222.,ÇEKMEKÖY,ÇATALMEŞE,29.247430691683782,41.04177447879989,151347228,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Alemdağ Stadı,İSTANBUL,SARAY,ÇEKMEKÖY,ALEMDAĞ,29.239093536275966,41.04267278997488,151347174,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Meşe Parkı,İSTANBUL,111.,ÇEKMEKÖY,ÇATALMEŞE,29.24147562712661,41.04267278997488,151347231,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Alemdağ Emlak Konut Camii Bahçesi,İSTANBUL,HÜSREV ÇIKMAZI,ÇEKMEKÖY,NİŞANTEPE,29.255768172230482,41.04267278997488,151347184,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
Gökkuşağı Parkı,İSTANBUL,111.,ÇEKMEKÖY,ÇATALMEŞE,29.241475871002873,41.04536772349986,151347230,"[<POLYGON ((29.258 41.028, 29.258 41.028, 29.258 41.028, 29.258 41.029, 29.25...>]"
