tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Osmanlı Parkı ve Spor Alanları,İSTANBUL,KAZIM KARABEKİR,EYÜPSULTAN,ALİBEYKÖY,28.945891095367777,41.07141091117499,151347539,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İBB İgdaş Parkı,İSTANBUL,KAZIM KARABEKİR,EYÜPSULTAN,SAKARYA,28.945891095367777,41.07141091117499,151347518,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İski Yanı Boş Alanı,İSTANBUL,KAZIM KARABEKİR,EYÜPSULTAN,EMNİYETTEPE,28.945891095367777,41.07141091117499,151347601,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Alibeyköy Pazar Yeri,İSTANBUL,SİLAHTARAĞA,EYÜPSULTAN,ALİBEYKÖY,28.945891290747404,41.07320753352498,151347538,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Sevinç Köprüsü Yanı Yeşil Alan,İSTANBUL,SEVİNÇ,EYÜPSULTAN,ALİBEYKÖY,28.948274487663205,41.07320753352498,151347602,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Kılıçaslan İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,KARADOLAP,28.942316593072352,41.075004155874964,151347560,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Şelale Çay Bahcesi,İSTANBUL,1.GÜMÜŞ ÇIKMAZI,EYÜPSULTAN,ALİBEYKÖY,28.942316641925007,41.07590246704996,151347540,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Uludağ Parkı,İSTANBUL,NAMIK KEMAL,EYÜPSULTAN,ÇIRÇIR,28.942316641925007,41.07590246704996,151347527,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İBB Kutlu Doğum Parkı,İSTANBUL,NAMIK KEMAL,EYÜPSULTAN,ÇIRÇIR,28.942316641925007,41.07590246704996,151347524,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Alibeyköy Korusu,İSTANBUL,ATATÜRK,EYÜPSULTAN,ALİBEYKÖY,28.947083459152875,41.07769908939994,151347543,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Mostar Parkı,İSTANBUL,NECATİBEY,EYÜPSULTAN,ALİBEYKÖY,28.94470018082707,41.078597400574935,151347542,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İBB Çobançeşme Parkı,İSTANBUL,MAREŞAL FEVZİ ÇAKMAK,EYÜPSULTAN,GÜZELTEPE,28.94827526932331,41.078597400574935,151347546,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Şehit Halit Aydın Parkı,İSTANBUL,GÜNGÖREN,EYÜPSULTAN,ALİBEYKÖY,28.944700262262906,41.07949571174993,151347541,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Şehit Ali Bekdemir Parkı,İSTANBUL,ULUDAĞ,EYÜPSULTAN,ÇIRÇIR,28.94350874527408,41.082190645274906,151347529,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Ertuğrul Gazi Parkı,İSTANBUL,ULUDAĞ,EYÜPSULTAN,ÇIRÇIR,28.94231703282592,41.0830889564499,151347528,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
Hüseyin Çatalkaş Parkı,İSTANBUL,SAKİN,EYÜPSULTAN,ÇIRÇIR,28.939933493899503,41.08398726762489,151347531,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İBB Asım Yıldız Parkı,İSTANBUL,SAKİN,EYÜPSULTAN,ÇIRÇIR,28.9399335101911,41.084885578799884,151347530,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
İBB Çobançeşme Korusu,İSTANBUL,FATİH SULTAN MEHMET,EYÜPSULTAN,5.LEVENT,28.94827631186748,41.08578388997488,151347550,"[<POLYGON ((28.946 41.071, 28.946 41.071, 28.947 41.071, 28.948 41.073, 28.94...>]"
