tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Atatürk Spor Kompleksi,İSTANBUL,GÖLBOYU,BÜYÜKÇEKMECE,DİZDARİYE,28.579572274489685,41.053738711174994,151347014,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
MEV Koleji Özel Büyükçekmece İlkokulu Bahçesi,İSTANBUL,ESKİCE KARAAĞAÇ YOLU,BÜYÜKÇEKMECE,ALKENT 2000,28.579572274489685,41.053738711174994,151346919,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Alkev Özel Okulları Bahçesi,İSTANBUL,ESKİCE KARAAĞAÇ YOLU,BÜYÜKÇEKMECE,ALKENT 2000,28.579572274489685,41.053738711174994,151346918,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Alkent 2000 Yüzme Havuzu Parkı,İSTANBUL,GÜZELTEPE,BÜYÜKÇEKMECE,ALKENT 2000,28.59029495039822,41.05912857822495,151346917,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Nejat Uygur Kültür Merkezi Bahçesi (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,TAŞOCAĞI,BÜYÜKÇEKMECE,ULUS,28.57361615963106,41.06002688939994,151346995,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Alkent 2000 Anaokulu Bahçesi,İSTANBUL,GÜZELTEPE,BÜYÜKÇEKMECE,ÇAKMAKLI,28.603400573477487,41.060925200574935,151346904,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Çakmaklı Cami Bahçesi,İSTANBUL,GÜZELTEPE,BÜYÜKÇEKMECE,ÇAKMAKLI,28.618892903255105,41.067213378799885,151346903,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Hastürk Caddesi Parkı,İSTANBUL,MEHMET YEŞİLGÜL,BÜYÜKÇEKMECE,ÇAKMAKLI,28.62008439308216,41.067213378799885,151346902,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Halil Fahri İlkokul-Ortaokul Bahçesi,İSTANBUL,HADIMKÖY YOLU,ESENYURT,AKÇABURGAZ,28.620085695337174,41.06901000114987,151347421,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Yunus Emre Parkı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,HADIMKÖY YOLU,ESENYURT,AKÇABURGAZ,28.620086346508806,41.06990831232486,151347419,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Alkent 2000 Yeşil Alan,İSTANBUL,GELENEK,BÜYÜKÇEKMECE,KARAAĞAÇ,28.618895442767386,41.070806623499855,151347022,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
İstanbul Üniversitesi Kampüs Altı Yeşil Alan-Otopark,İSTANBUL,GELENEK,BÜYÜKÇEKMECE,KARAAĞAÇ,28.616515345097117,41.07529817937482,151346963,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
Akçaburgaz Mahallesi Otoban Yanı Yeşil Alan,İSTANBUL,HADIMKÖY YOLU,ESENYURT,AKÇABURGAZ,28.62605283323081,41.080688046424775,151347486,"[<POLYGON ((28.603 41.061, 28.605 41.061, 28.607 41.062, 28.609 41.063, 28.61...>]"
