tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Maltepe Meydanı,İSTANBUL,ÇAĞLAYAN,MALTEPE,ALTAYÇEŞME,29.13091067620057,40.925688911174994,151348644,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Kelebek Sokak Parkı,İSTANBUL,BAĞDAT,MALTEPE,FEYZULLAH,29.13091067620057,40.925688911174994,151348774,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Feyzullah-Turgay Ciner Ortaokulu Bahçesi,İSTANBUL,ATATÜRK,MALTEPE,BAĞLARBAŞI,29.13091067620057,40.925688911174994,151348759,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Maltepe Spor Tesisleri,İSTANBUL,BAĞDAT,MALTEPE,FEYZULLAH,29.129721854810033,40.92658722234999,151348777,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Kazım Tunç İlkokulu Bahçesi,İSTANBUL,ŞAİR NEDİM,MALTEPE,ALTAYÇEŞME,29.13091080549718,40.92658722234999,151348646,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Bağlarbaşı Muhtarlık Parkı,İSTANBUL,ATATÜRK,MALTEPE,BAĞLARBAŞI,29.132099756184328,40.92658722234999,151348762,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Prof. Dr. Abdullah Türkoğlu Ortaokulu Bahçesi,İSTANBUL,BAĞDAT,MALTEPE,ALTAYÇEŞME,29.12972196794969,40.92748553352498,151348650,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Kırlangıç Sokak Parkı,İSTANBUL,ATATÜRK,MALTEPE,BAĞLARBAŞI,29.133288868499555,40.92748553352498,151348761,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
E.C.A Elgin Kan Anadolu Lisesi Bahçesi,İSTANBUL,ATATÜRK,MALTEPE,BAĞLARBAŞI,29.133288868499555,40.92748553352498,151348758,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Belediye Önü Yüz Evler Refüj,İSTANBUL,BAĞDAT,MALTEPE,FEYZULLAH,29.129722081094467,40.92838384469997,151348783,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Prof. Dr. Bekir Topaloğlu İmam Hatip Ortaokulu Bahçesi,İSTANBUL,UÇAR,MALTEPE,ALTAYÇEŞME,29.130911064107963,40.92838384469997,151348651,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Ayışığı Spor Tesisleri Ve Çevresi,İSTANBUL,HAZAR,MALTEPE,ALTAYÇEŞME,29.130911322742193,40.93018046704996,151348648,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Güvercinlik Parkı,İSTANBUL,GÜLCİHAN,MALTEPE,ALTAYÇEŞME,29.12853348604986,40.93197708939994,151348640,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Samanyolu Parkı,İSTANBUL,ORTAK,MALTEPE,ALTAYÇEŞME,29.134478724424746,40.93197708939994,151348652,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
İmdat Vakfı Dumlupınar Ortaokulu Bahçesi,İSTANBUL,BAĞDAT,MALTEPE,FEYZULLAH,29.12734451921088,40.932875400574936,151348773,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Bomaç Sokak Parkı,İSTANBUL,ŞEHİT TANER ÇELİKDEMİR,MALTEPE,ALTAYÇEŞME,29.128533583053056,40.932875400574936,151348641,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Osman Gazi İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ŞEHİT TANER ÇELİKDEMİR,MALTEPE,ALTAYÇEŞME,29.12972264689523,40.932875400574936,151348649,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Maltepe SGK Bahçesi,İSTANBUL,SÜLÜN,MALTEPE,BAĞLARBAŞI,29.13685702994829,40.932875400574936,151348754,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Altayçeşme İlkokulu Bahçesi,İSTANBUL,KADER,MALTEPE,ALTAYÇEŞME,29.129722760070774,40.93377371174993,151348645,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Sanatçılar Parkı,İSTANBUL,KİRAZ,MALTEPE,ALTAYÇEŞME,29.130911840080884,40.93377371174993,151348642,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Zümrütevler Cami Bahçesi,İSTANBUL,BAŞÖĞRETMEN,MALTEPE,GİRNE,29.138046546502828,40.93467202292492,151348638,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
M. Abbaslıgil Parkı ( Musikiler Dernek Bölgesi ),İSTANBUL,BAĞDAT,MALTEPE,FEYZULLAH,29.123777424696335,40.935570334099914,151348775,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Yalçın Kızılay Spor Kompleksi,İSTANBUL,DENİZER,MALTEPE,ALTAYÇEŞME,29.124966537044504,40.935570334099914,151348653,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Hacı Yusuf Ziya Hamire Cami Bahçesi,İSTANBUL,BAŞÖĞRETMEN,MALTEPE,GİRNE,29.136857660526186,40.935570334099914,151348634,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
İdealtepe 50. Yıl Korusu,İSTANBUL,BÜYÜKYALI,MALTEPE,İDEALTEPE,29.122588328518294,40.93646864527491,151348730,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Büyükşehir Parkı,İSTANBUL,ÖZ,MALTEPE,ALTAYÇEŞME,29.129723212824096,40.9373669564499,151348639,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Nezahat Aslan Ekşioğlu İlkokulu Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.134479791580723,40.9373669564499,151348637,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
Altayçeşme Spor Center,İSTANBUL,İSTİKLAL,MALTEPE,ALTAYÇEŞME,29.126155843442987,40.93826526762489,151348643,"[<POLYGON ((29.139 40.936, 29.138 40.936, 29.137 40.937, 29.136 40.938, 29.13...>]"
