tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Anneleri Vakfı Parkı,İSTANBUL,TURGUT ÖZAL,MALTEPE,KÜÇÜKYALI MERKEZ,29.098382206654374,40.949817111174994,151348609,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Ahmet Rasim İlkokulu Bahçesi,İSTANBUL,TURGUT ÖZAL,MALTEPE,ALTINTEPE,29.098382206654374,40.949817111174994,151348741,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Altıntepe Cami Bahçesi,İSTANBUL,TURGUT ÖZAL,MALTEPE,ALTINTEPE,29.098382206654374,40.949817111174994,151348743,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Fevzi Çakmak İlköğretim Okulu Bahçesi,İSTANBUL,SIRMAKEŞ,MALTEPE,ALTINTEPE,29.10313968219354,40.949817111174994,151348742,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Hayrullah Kefoğlu Anadolu Lisesi Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,BOSTANCI,29.09719287013307,40.95071542234999,151348170,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
23 Nisan Zehra Hanım İmam Hatip Ortaokulu Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,BOSTANCI,29.09719287013307,40.95071542234999,151348168,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Muhsine Zeynep Ortaokulu Bahçesi,İSTANBUL,LALE,MALTEPE,KÜÇÜKYALI MERKEZ,29.105518565598818,40.95071542234999,151348614,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Fikret Otyam Sanat Evi Bahçesi,İSTANBUL,GELİNCİKLİ,MALTEPE,KÜÇÜKYALI MERKEZ,29.106707950665353,40.95071542234999,151348611,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Halit Armay Anadolu Lisesi Bahçesi,İSTANBUL,KARANFİLCİ,MALTEPE,ALTINTEPE,29.107897335731888,40.95071542234999,151348745,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Selahattin Konan Çocuk Parkı,İSTANBUL,KARANFİLCİ,MALTEPE,ALTINTEPE,29.107897335731888,40.95071542234999,151348740,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Kuloğlu Cami Avlusu,İSTANBUL,ÇETİN EMEÇ,KADIKÖY,BOSTANCI,29.09600350124901,40.95161373352498,151348166,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Mat Otomotiv ve Yıkama San. Tic. Ltd. Şti Bahçesi,İSTANBUL,BAHÇELERARASI,KADIKÖY,BOSTANCI,29.099571769728875,40.95251204469997,151348174,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Celal Avşar İlkokulu Bahçesi,İSTANBUL,AKASYALI,MALTEPE,ALTINTEPE,29.109087109186625,40.95251204469997,151348744,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Bostancı Gösteri Merkezi Bahçesi,İSTANBUL,ESENLİK ÇIKMAZI,KADIKÖY,BOSTANCI,29.103140248605857,40.95430866704996,151348179,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Kılıç Spor Tesisleri,İSTANBUL,KANARYA ÇIKMAZI,KADIKÖY,BOSTANCI,29.10551914820753,40.95430866704996,151348177,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Eski Bostancı Pazar Yeri,İSTANBUL,KANARYA ÇIKMAZI,KADIKÖY,BOSTANCI,29.106708759862435,40.95520697822495,151348175,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Kadir Rezan Has İlkokulu Bahçesi,İSTANBUL,KARATAY,MALTEPE,KÜÇÜKYALI MERKEZ,29.113845555779896,40.95520697822495,151348612,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Altmışlılar Parkı,İSTANBUL,İSMET İNÖNÜ,MALTEPE,AYDINEVLER,29.113845555779896,40.95520697822495,151348616,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Leman Kaya İlkokulu Bahçesi,İSTANBUL,BOSTANLARARASI,KADIKÖY,BOSTANCI,29.109087886068586,40.95610528939994,151348171,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
Club Sporium,İSTANBUL,BOSTANCI YANYOL,KADIKÖY,BOSTANCI,29.11146685041335,40.95610528939994,151348176,"[<POLYGON ((29.115 40.956, 29.114 40.956, 29.114 40.957, 29.113 40.957, 29.11...>]"
