tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Paşa Çocuk Parkı,İSTANBUL,EROL,ÜMRANİYE,ALTINŞEHİR,29.144884992847643,41.00692061117499,151349607,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Site Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,MEHMET AKİF,29.144884992847643,41.00692061117499,151349679,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Akabe Sitesi Bahçesi,İSTANBUL,EROL,ÜMRANİYE,ALTINŞEHİR,29.144884992847643,41.00692061117499,151349609,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Eyüp Sokak Boş Arazi,İSTANBUL,PAŞA,ÜMRANİYE,ALTINŞEHİR,29.146075391825878,41.00692061117499,151349608,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,MEHMET AKİF,29.142504276033147,41.00781892234998,151349687,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Piri Reis Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,MEHMET AKİF,29.142504276033147,41.00781892234998,151349684,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Aliya İzzetbegoviç Kültür Merkezi Bahçesi,İSTANBUL,TOMURCUK,ÜMRANİYE,ALTINŞEHİR,29.142504276033147,41.00781892234998,151349612,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Sarıyer Sokak Boş Arazi,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,MEHMET AKİF,29.141313925743038,41.008717233524976,151349689,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Hasan Özaydın İlkokulu Bahçesi,İSTANBUL,TOMURCUK,ÜMRANİYE,ALTINŞEHİR,29.142504357178797,41.008717233524976,151349613,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Emine Koçulu İlkokulu Bahçesi,İSTANBUL,HAZAL,ÜMRANİYE,ALTINŞEHİR,29.147266082921835,41.008717233524976,151349610,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Ihlamur Sitesi Bahçesi,İSTANBUL,HAZAL,ÜMRANİYE,ALTINŞEHİR,29.147266082921835,41.008717233524976,151349611,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Kumru Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,ALTINŞEHİR,29.140123542996875,41.00961554469997,151349605,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Demir Parkı,İSTANBUL,KELEBEK,ÜMRANİYE,ALTINŞEHİR,29.138933127792445,41.01051385587496,151349614,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Sırmagenç Sokak Boş Arazi,İSTANBUL,MENDERES,ÜMRANİYE,ALTINŞEHİR,29.14250451948111,41.01051385587496,151349615,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Cesur Parkı,İSTANBUL,BEKA,ÜMRANİYE,ALTINŞEHİR,29.13774268012756,41.011412167049954,151349616,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Lale Parkı,İSTANBUL,AKSARAY,ÜMRANİYE,ALTINŞEHİR,29.146076041020468,41.011412167049954,151349606,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
Şehit Numan Seref Datlı İlkokulu Bahçesi,İSTANBUL,DOĞANEVLER,ÜMRANİYE,TEPEÜSTÜ,29.137742696359627,41.01231047822495,151349831,"[<POLYGON ((29.146 41.006, 29.146 41.006, 29.146 41.006, 29.147 41.007, 29.14...>, <POLYGON ((28.747 41.063, 28.747 41.062, 28.747 41.062, 28.75 41.061, 28.752...>]"
