tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İHKİB Avcılar Mesleki ve Teknik Lisesi Bahçesi ve Yanı,İSTANBUL,İSKELE,AVCILAR,AMBARLI,28.719499833497554,40.96983431117499,151345706,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
23 Nisan Parkı,İSTANBUL,İSKELE,AVCILAR,AMBARLI,28.719499833497554,40.96983431117499,151345703,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Şehit P. Er Yaşar Ataş Parkı,İSTANBUL,DR.SADIK AHMET,AVCILAR,DENİZKÖŞKLER,28.719499833497554,40.96983431117499,151345633,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Dr. Sadık Ahmet Cad. Toplanma Alanı,İSTANBUL,DR.SADIK AHMET,AVCILAR,DENİZKÖŞKLER,28.720689563136307,40.96983431117499,151345636,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Şehit P. Er İbrahim Candemir Parkı,İSTANBUL,DR.SADIK AHMET,AVCILAR,DENİZKÖŞKLER,28.72187929277506,40.96983431117499,151345635,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Atatürk Ortaokulu Bahçesi,İSTANBUL,İSKELE,AVCILAR,DENİZKÖŞKLER,28.724258752052567,40.96983431117499,151345634,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Şehit Topçu Er Selçuk Adalı Parkı ,İSTANBUL,MARMARA SAHİL,AVCILAR,AMBARLI,28.714741141715653,40.970732622349985,151345702,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
İnönü İlkokulu Bahçesi,İSTANBUL,TESİSLER AMBARLI YOLU,AVCILAR,AMBARLI,28.7099824823519,40.97252924469997,151345695,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Ambarlı Mh. Kapalı Semt Pazarı,İSTANBUL,TESİSLER AMBARLI YOLU,AVCILAR,AMBARLI,28.7099824823519,40.97252924469997,151345697,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Halide Edip Adıvar Parkı,İSTANBUL,ÇİMENLİ,AVCILAR,AMBARLI,28.719500708233422,40.97252924469997,151345705,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Avcılar Belediyesi Termimal Arkası,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.70522346661281,40.97342755587496,151345650,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Naim Süleymanoğlu Sok. Toplanma Alanı,İSTANBUL,TESİSLER AMBARLI YOLU,AVCILAR,AMBARLI,28.70641326104828,40.97342755587496,151345699,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Avcılar Belediyesi Çocuk Evi Bahçesi,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69927451063648,40.974325867049956,151345652,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Avcılar Meydan,İSTANBUL,HARMANYERİ,AVCILAR,MERKEZ,28.71831175624994,40.97522417822495,151345711,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Müjdat Gezen Parkı ve Yanı,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69927454304071,40.97612248939994,151345647,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
İnönü Ortaokulu Bahçesi,İSTANBUL,UĞURLU,AVCILAR,AMBARLI,28.71593234561064,40.97612248939994,151345701,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Mehmet Baydar Anadolu Lisesi Arkası,İSTANBUL,ŞAHİN,AVCILAR,AMBARLI,28.707603573951406,40.977020800574934,151345694,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Erol Mumcu Kültür Sanat Parkı,İSTANBUL,HARMANYERİ,AVCILAR,MERKEZ,28.717122447902813,40.977020800574934,151345708,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Şehit J. Er Erdoğan Akçıkrık Parkı Karşısı,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.702844201791496,40.97791911174993,151345656,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Atatürk Parkı,İSTANBUL,HARMANYERİ,AVCILAR,MERKEZ,28.72069233350961,40.97791911174993,151345713,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Mehmet Baydar Anadolu Lisesi Bahçesi,İSTANBUL,AVCI,AVCILAR,AMBARLI,28.70879372487299,40.97881742292492,151345696,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Avcılar Saide Zorlu Ticaret Meslek Lisesi Bahçesi,İSTANBUL,NAİM SÜLEYMANOĞLU,AVCILAR,AMBARLI,28.71117368643767,40.97971573409991,151345698,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Avcılar Saide Zorlu Ticaret Meslek Lisesi Karşısı,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.713553502153612,40.97971573409991,151345662,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Nimet Kamuran Korkmaz Öz.Eğ.Uyg.Okulu II.Kad.Bahçesi,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69927462406412,40.980614045274905,151345649,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
Eyüp Çolakoğlu Parkı,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.711174042981046,40.9815123564499,151345661,"[<POLYGON ((28.722 40.978, 28.722 40.978, 28.721 40.978, 28.72 40.978, 28.719...>]"
