tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Er Murat Güler Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.077186094903162,41.144814811174996,151346494,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Çamlıbahçe Parkı ve Civarı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.077186094903162,41.144814811174996,151346503,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Beykoz Çayırı Ek 1,İSTANBUL,DOĞUKAPISI,BEYKOZ,ORTAÇEŞME,29.077186094903162,41.144814811174996,151346502,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Çamlıbahçe Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.075993245202422,41.14571312234999,151346493,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Çamlıbahçe Ayazma Dik Yokuş Sokak No 19 Karşısı Boş Alan,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.0748003628198,41.14661143352498,151346641,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Ortaçeşme Meydan Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,ÇAMLIBAHÇE,29.080765820793363,41.15289961174993,151346507,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Şehit Adil Doğan İlköğretim Okulu Bahçesi,İSTANBUL,DOĞUKAPISI,BEYKOZ,TOKATKÖY,29.083152059583778,41.15379792292492,151439803,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Şehit Çavuş İlhan Karademir Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,TOKATKÖY,29.083152501029378,41.1564928564499,151346499,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Şehit Bayram Top Parkı,İSTANBUL,DOĞUKAPISI,BEYKOZ,TOKATKÖY,29.085538903344855,41.157391167624894,151346498,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Havantepe Parkı.,İSTANBUL,KARAKÜTÜK,SARIYER,YENİ,29.073607692989498,41.160984412324865,151440380,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Balahatun İlkokulu Bahçesi ve Çevresi Yeşil Alan,İSTANBUL,KARAKÜTÜK,SARIYER,YENİ,29.073607692989498,41.160984412324865,151348965,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Anadolu Kavağı Mahalle Meydanı,İSTANBUL,YUŞA ÇIKMAZI,BEYKOZ,ANADOLU KAVAĞI,29.089119659804126,41.16278103467485,151346627,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Anadolu Kavağı Spor Kulübü Derneği Sahası,İSTANBUL,ANADOLUKAVAĞI,BEYKOZ,ANADOLU KAVAĞI,29.08912034680869,41.16547596819983,151346628,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Özel Beykoz Doğa İlkokulu-Ortaokulu Bahçesi,İSTANBUL,TUNA,BEYKOZ,DERESEKİ,29.117765158926403,41.174459079949756,151346608,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
23 Nisan 100. Yıl Çocuk Parkı,İSTANBUL,ESKİ FENER YOLU,BEYKOZ,AKBABA,29.117765158926403,41.174459079949756,151439797,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Halı Saha.,İSTANBUL,ESKİ FENER YOLU,BEYKOZ,AKBABA,29.117765158926403,41.174459079949756,151346633,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Dereseki Futbol Sahası ve Çevresi,İSTANBUL,TUNA,BEYKOZ,DERESEKİ,29.118958597319203,41.174459079949756,151346607,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Mana Topçu Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,LİMAN,SARIYER,RUMELİKAVAĞI,29.087929411866412,41.17535739112475,151348851,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
0/135 Parselde Bulunan Boş Alan,İSTANBUL,KORUCU AHMET YOLU,BEYKOZ,POYRAZKÖY,29.121348829471085,41.17895063582472,151346533,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
Liman Yanı Halı Saha,İSTANBUL,KORUCU AHMET YOLU,BEYKOZ,POYRAZKÖY,29.1165771714524,41.18254388052469,151346532,"[<POLYGON ((29.079 41.144, 29.079 41.144, 29.079 41.146, 29.08 41.147, 29.08 ...>]"
