tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Sarmaşık Parkı,İSTANBUL,785.,ESENYURT,ARDIÇLI,28.67619462712853,41.042672811174995,151347441,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Yunus Emre Ortaokulu Bahçesi.,İSTANBUL,DOĞAN ARASLI,ESENYURT,ÖRNEK,28.67619462712853,41.042672811174995,151439942,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Karanfil Parkı,İSTANBUL,ISPARTAKULE,ESENYURT,SÜLEYMANİYE,28.67619462712853,41.042672811174995,151347381,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Yenikent İlkokulu Bahçesi ,İSTANBUL,HACI BEKTAŞ VELİ,ESENYURT,YENİKENT,28.677385770100315,41.04357112234999,151347417,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Vahit Sura Tanrıverdi İlkokulu Bahçesi,İSTANBUL,824.,ESENYURT,ARDIÇLI,28.676194789709022,41.04446943352498,151347442,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Gaziosman Paşa Parkı,İSTANBUL,DOĞAN ARASLI,ESENYURT,ÖRNEK,28.675003776803834,41.04536774469997,151347368,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Ardıç Parkı,İSTANBUL,ISPARTAKULE,ESENYURT,SÜLEYMANİYE,28.68095939414763,41.046266055874966,151347380,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
75.Yıl Parkı,İSTANBUL,HACI BEKTAŞ VELİ,ESENYURT,YENİKENT,28.68215050460848,41.046266055874966,151347414,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
764. Sokak Parkı,İSTANBUL,ISPARTAKULE,ESENYURT,SÜLEYMANİYE,28.685723835991023,41.046266055874966,151347383,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Petunya Parkı,İSTANBUL,ISPARTAKULE,ESENYURT,SÜLEYMANİYE,28.685723835991023,41.046266055874966,151347379,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Ardıçlı Mahallesi Otoban Yanı Yeşillik Alan,İSTANBUL,AKASYA,ESENYURT,ARDIÇLI,28.68334179393624,41.04716436704996,151347443,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Ardıçlı Göl Evleri Yanı Toplanma Alanı,İSTANBUL,BAHÇEŞEHİR YANYOL,AVCILAR,YEŞİLKENT,28.688106300822145,41.04716436704996,151345762,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Selahaddin Eyyubi Mahallesi Otoban Yanı Yeşil Alan,İSTANBUL,DOĞAN ARASLI,ESENYURT,SELAHADDİN EYYUBİ,28.673812926523333,41.04985930057494,151347489,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Otoban Yanı Yeşillik Alan,İSTANBUL,TEM OTOYOLU,ESENYURT,ESENKENT ,28.684533701256257,41.05075761174993,151347434,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Nurettin Topçu İlkokulu Bahçesi,İSTANBUL,BAHÇEŞEHİR YANYOL,AVCILAR,YEŞİLKENT,28.68572489302761,41.05075761174993,151345761,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Akbatı Karşısı Otoban Yanı Yeşillik Alan,İSTANBUL,ATATÜRK,ESENYURT,KOZA,28.672621816071327,41.05165592292492,151347453,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Havana Park,İSTANBUL,ENVERPAŞA,ESENYURT,AŞIK VEYSEL,28.675004232142655,41.05165592292492,151347445,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Esenyurt Atatürk Ortaokulu Bahçesi,İSTANBUL,TEM OTOYOLU,ESENYURT,ESENKENT ,28.683342867307868,41.052554234099915,151347433,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Atatürk Yürüyüş Parkı,İSTANBUL,ENVERPAŞA,ESENYURT,AŞIK VEYSEL,28.675004362265994,41.05345254527491,151347444,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
Hasbahçe Parkı,İSTANBUL,ENVERPAŞA,ESENYURT,AŞIK VEYSEL,28.677386843398992,41.05345254527491,151347446,"[<POLYGON ((28.67 41.054, 28.67 41.053, 28.67 41.053, 28.67 41.053, 28.671 41...>]"
