tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Atakent Menekşe Evleri Yeşil Alan,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.76744464728915,41.034311811174994,151350083,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Konutbirlik Parkı,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,İSTASYON,28.76744464728915,41.034311811174994,151350057,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Ataturk Ortaokulu Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,İSTASYON,28.76744464728915,41.034311811174994,151350060,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Halkalı Yenidoğan Camii Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,İSTASYON,28.76863554143239,41.034311811174994,151350065,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Fulya Anaokulu Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.769826435575627,41.034311811174994,151350115,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Şehit Er Yılmaz Özdemir İlkokulu ve Spor Salonu Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.772208223862105,41.034311811174994,151350122,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Menekşe Parkı,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.766253883152523,41.03521012234999,151350102,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Nurettin Şen Parkı,İSTANBUL,1.POSTA,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.782927343754338,41.03700674469997,151350017,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
İstanbul Sabahattin Zaim Üniversitesi,İSTANBUL,1.POSTA,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.782927343754338,41.03700674469997,151350026,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Cemil Mutlu Ortaokulu Bahçesi,İSTANBUL,1.POSTA,KÜÇÜKÇEKMECE,ATAKENT,28.782927343754338,41.03700674469997,151350086,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
İmam Buhari İmam Hatip Ortaokulu Bahçesi,İSTANBUL,234.,KÜÇÜKÇEKMECE,ATAKENT,28.778163864717293,41.037905055874965,151350096,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Hasanoğlu Deresi ve Kanuni Sultan Süleyman Parkı,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.762681477023662,41.03880336704996,151350124,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Sultan Alparslan İlkokulu Bahçesi,İSTANBUL,241,KÜÇÜKÇEKMECE,ATAKENT,28.76744537864259,41.03880336704996,151350110,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Akasya Anaokulu Bahçesi,İSTANBUL,242.,KÜÇÜKÇEKMECE,ATAKENT,28.779355132689915,41.03880336704996,151350111,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Günışığı Parkı,İSTANBUL,1211.,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.788882935927774,41.03880336704996,151350016,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Kardelen Anaokulu Bahçesi,İSTANBUL,1.İKİTELLİ,KÜÇÜKÇEKMECE,ATAKENT,28.788882935927774,41.03880336704996,151350119,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
PAGEV Plastik Teknolojisi Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,1.İKİTELLİ,KÜÇÜKÇEKMECE,ATAKENT,28.788882935927774,41.03880336704996,151350105,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Halkalı Anadolu İmam Hatip Lisesi ve Spor Salonu Bahçesi,İSTANBUL,KAYISILIK,KÜÇÜKÇEKMECE,ATAKENT,28.790073911332506,41.03880336704996,151350117,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Kenan Onuk Parkı,İSTANBUL,KAYISILIK,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.79245586214197,41.03880336704996,151350013,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Zülfikar Parkı,İSTANBUL,247.,KÜÇÜKÇEKMECE,ATAKENT,28.787692383140225,41.03970167822495,151350071,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Nilüfer Anaokulu Bahçesi,İSTANBUL,1.İKİTELLİ,KÜÇÜKÇEKMECE,ATAKENT,28.790074821605593,41.040599989399944,151350120,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Hacı Bektaş-ı Veli Anadolu Lisesi ve Yurt Binası Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.794838853263535,41.040599989399944,151350022,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Tüccar ve Sanayiciler Derneği İlkokulu Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.794838853263535,41.040599989399944,151350034,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Melikşah Ortaokulu Bahçesi,İSTANBUL,219.,KÜÇÜKÇEKMECE,ATAKENT,28.76506376919327,41.041498300574936,151350101,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Erdem Beyazıt Ortaokulu Bahçesi,İSTANBUL,222.,KÜÇÜKÇEKMECE,ATAKENT,28.776974010897938,41.041498300574936,151350114,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Spor Alanları (TEMA İstanbul),İSTANBUL,222.,KÜÇÜKÇEKMECE,ATAKENT,28.776974010897938,41.041498300574936,151350109,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Halkalı Doğa Okulu Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,ATAKENT,28.793648349284474,41.041498300574936,151350093,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Küçükçekmece Özel Eğitim İş Uygulama Merkezi Okulu (III. Kademe) Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.79483937345494,41.041498300574936,151350027,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Kuyumculuk Teknolojisi Mesleki Ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.76029972128155,41.04239661174993,151350097,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Şehit Yılmaz Özdemir Parkı,İSTANBUL,ŞEHİT YILMAZ ÖZDEMİR,KÜÇÜKÇEKMECE,ATAKENT,28.786502610679594,41.04239661174993,151350074,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Güneşparkevleri Kız Anadolu İmam Hatip Lisesi ve Spor Salonu Bahçesi,İSTANBUL,213.,KÜÇÜKÇEKMECE,ATAKENT,28.78769365110678,41.04239661174993,151350116,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
TOKİ Şehit Efkan Kıran İlkokulu ve Spor Salonu Bahçesi,İSTANBUL,213.,KÜÇÜKÇEKMECE,ATAKENT,28.788884691533962,41.04239661174993,151350121,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Halkalı Mesleki Ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,ATAKENT,28.793648853242697,41.04239661174993,151350094,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Fahreddin Kerim Gökay Okul Alanı Bahçesi,İSTANBUL,TURGUT ÖZAL,KÜÇÜKÇEKMECE,ATAKENT,28.76029977005392,41.04329492292492,151350088,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Selçuklu Parkı  3.Kısım ve Halkalı Sosyal Tesisleri,İSTANBUL,1.İKİTELLİ,KÜÇÜKÇEKMECE,ATAKENT,28.792458300539188,41.04329492292492,151350072,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Selçuklu Parkı 2.Kısım-Macera Parkı,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,ATAKENT,28.794840413908467,41.04329492292492,151350073,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Selçuklu Parkı 1.Kısım ve Selçuklu Sosyal Tesisleri Bahçesi,İSTANBUL,SELÇUKLU,KÜÇÜKÇEKMECE,ATAKENT,28.796031470593107,41.04329492292492,151350127,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Halkalı Güneş Ortaokulu Bahçesi,İSTANBUL,9. ÇIKMAZ,KÜÇÜKÇEKMECE,ATAKENT,28.799604640647026,41.04329492292492,151350130,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Hayat Park,İSTANBUL,9. ÇIKMAZ,KÜÇÜKÇEKMECE,HALKALI MERKEZ,28.800795697331665,41.04329492292492,151350012,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
Orhan Cemal Fersoy Anadolu Lisesi Bahçesi,İSTANBUL,9. ÇIKMAZ,KÜÇÜKÇEKMECE,ATAKENT,28.800795697331665,41.04329492292492,151350103,"[<POLYGON ((28.785 41.063, 28.783 41.063, 28.782 41.063, 28.78 41.063, 28.778...>, <POLYGON ((29.107 41.024, 29.107 41.024, 29.107 41.023, 29.107 41.023, 29.10...>]"
