tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Atapark,İSTANBUL,KİLİTBAHİR,BAKIRKÖY,ATAKÖY 3-4-11. KISIM,28.858763324133218,40.98065631117499,151346224,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Sanatçılar Parkı,İSTANBUL,KİLİTBAHİR,BAKIRKÖY,ATAKÖY 3-4-11. KISIM,28.858763324133218,40.98065631117499,151346225,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Barlas Kuntay Parkı,İSTANBUL,KİLİTBAHİR,BAKIRKÖY,ATAKÖY 2-5-6. KISIM,28.858763324133218,40.98065631117499,151346321,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Gençler Caddesi Parkı,İSTANBUL,GENÇLER,BAKIRKÖY,ZEYTİNLİK,28.861143173786505,40.98065631117499,151346319,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Demokrasi Parkı,İSTANBUL,GENÇLER,BAKIRKÖY,ZEYTİNLİK,28.867092797919724,40.98065631117499,151346281,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Defne Sokak Parkı,İSTANBUL,ADNAN KAHVECİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.856383523100686,40.98155462234998,151346234,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
A28 Blok Parkı,İSTANBUL,ADNAN KAHVECİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.856383523100686,40.98155462234998,151346227,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Türkiye Atletizm Federasyonu Atletizm Salonu,İSTANBUL,DR. REMZİ KAZANCIGİL,BAKIRKÖY,ZUHURATBABA,28.856383571723647,40.982452933524975,151346310,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Yüce Spor Açık Spor Alanı,İSTANBUL,ZUHURATBABA,BAKIRKÖY,ZUHURATBABA,28.867093186894593,40.982452933524975,151346308,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Santral Çıkmazı Parkı,İSTANBUL,AK MESCİT,BAKIRKÖY,ZUHURATBABA,28.86828314413581,40.982452933524975,151346306,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Bilal Bozkaya Parkı,İSTANBUL,ZUHURATBABA,BAKIRKÖY,ZUHURATBABA,28.863523606928506,40.98424955587496,151346305,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Sinan Erdem Spor Tesisleri Yanı Otopark ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DR. REMZİ KAZANCIGİL,BAKIRKÖY,ZUHURATBABA,28.857573723474303,40.98514786704995,151346309,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
Olimpiyat Sitesi Yanı Parkı,İSTANBUL,UĞUR MUMCU,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.854003722079163,40.986046178224946,151346235,"[<POLYGON ((28.863 40.98, 28.864 40.98, 28.866 40.98, 28.868 40.98, 28.868 40...>]"
