tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ataköy A1-B1 Blok Parkı,İSTANBUL,LALE,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.843127264675758,40.977323511174994,151346229,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
İspirtohane Kültür Merkezi Bahçesi,İSTANBUL,LALE,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.843127264675758,40.977323511174994,151346239,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
İSKİ Tesisleri Yanı Kamu Alanı,İSTANBUL,YENİ HAVAALANI,BAKIRKÖY,YEŞİLYURT,28.843127264675758,40.977323511174994,151346274,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Palmiye Sitesi Parkı,İSTANBUL,LALE,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.84312755635124,40.97822182234999,151346228,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Defne Sokak Parkı,İSTANBUL,LALE,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.846697539379957,40.97912013352498,151346234,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Barlas Kuntay Parkı,İSTANBUL,ADNAN KAHVECİ,BAKIRKÖY,ATAKÖY 2-5-6. KISIM,28.8490777063369,40.98001844469997,151346321,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
A28 Blok Parkı,İSTANBUL,ADNAN KAHVECİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.850267619655895,40.98001844469997,151346227,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Kardelen Parkı,İSTANBUL,ARDIÇ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.8419387774529,40.98181506704996,151346226,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Ahmet Sezgin (Mimoza) Parkı,İSTANBUL,ARDIÇ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.84074909104625,40.98271337822495,151346233,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Eski Dostlar Parkı,İSTANBUL,HANIMELİ ÇİÇEĞİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.839559615374803,40.984510000574936,151346232,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Yunus Emre Kültür Merkezi Bahçesi,İSTANBUL,AÇIK DENİZ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.847889575883045,40.984510000574936,151346236,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Olimpiyat Sitesi Yanı Parkı,İSTANBUL,ESKİ ÇINAR,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.850269564599685,40.984510000574936,151346235,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Attrium AVM Otoparkı,İSTANBUL,DEFNE,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.84669992193619,40.98540831174993,151346237,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Sinan Erdem Spor Tesisleri Yanı Otopark ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,MUSTAFA SARIÇİÇEK,BAKIRKÖY,ZUHURATBABA,28.85145996420975,40.98540831174993,151346309,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Yeni Bosna Ataköy Metro Durağı Karşısı Yeşil Alan,İSTANBUL,HANIMELİ ÇİÇEĞİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.83837007490868,40.98630662292492,151346238,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Şehit Er Ramazan Paşagöncü Parkı,İSTANBUL,HANIMELİ ÇİÇEĞİ,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.839560344860875,40.987204934099914,151346231,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Olimpiyat Sitesi Karşısı Yeşil Alan,İSTANBUL,YÜZÜCÜ TALAT YÜZMEN,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.849080688786675,40.987204934099914,151346326,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Ataköy Cemevi Bahçesi,İSTANBUL,OSMAN HAMDİ BEY,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.83480035123297,40.98810324527491,151346325,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Hasan Taştan Parkı,İSTANBUL,KARANFİL,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.84432082485695,40.98810324527491,151346230,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
Prof. Dr. Mümtaz Turhan Sosyal Bilimler Lisesi Bahçesi,İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.830040341408164,40.98989986762489,151346093,"[<POLYGON ((28.841 40.982, 28.841 40.981, 28.842 40.98, 28.842 40.979, 28.843...>]"
