tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kardelen Parkı,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.170226381529034,40.89797721117499,151348364,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Atalar Temel Eğitim Tesisi Alanı,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.170226381529034,40.89797721117499,151348358,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Süleyman Demirel Anadolu Lisesi Bahçesi,İSTANBUL,ÜSKÜDAR,KARTAL,PETROL İŞ,29.170226381529034,40.89797721117499,151348472,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Sevgi Parkı,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.17022646222665,40.89887552234998,151348367,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Ergenekon İbrahim Şakir İlkokulu Bahçesi,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.16784965417972,40.90067214469997,151348361,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Çanakkale Şehitler Parkı,İSTANBUL,HAZAN,KARTAL,ATALAR,29.173792077812582,40.90067214469997,151348360,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Kartal Belediyesi Yeni Halı Saha,İSTANBUL,ÜSKÜDAR,KARTAL,ATALAR,29.166661201736577,40.90157045587496,151348365,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Hamit Yıldırım Parkı,İSTANBUL,KARANFİL,KARTAL,ATALAR,29.176169208682882,40.90157045587496,151348362,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Kumru Parkı,İSTANBUL,MENEVİŞ,KARTAL,PETROL İŞ,29.17735770955117,40.90157045587496,151348469,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Arif Dağlar Parkı,İSTANBUL,MENEVİŞ,KARTAL,PETROL İŞ,29.17735770955117,40.90157045587496,151348463,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Çakabey İmam Hatip Ortaokulu Bahçesi,İSTANBUL,TEKEL,KARTAL,ORHANTEPE,29.165472717010733,40.90246876704995,151348554,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Zeytinlik Parkı,İSTANBUL,AYDINLAR,KARTAL,ATALAR,29.17616937010732,40.90246876704995,151348370,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Mehmet Ali Büklü Parkı,İSTANBUL,TECERDAĞI,KARTAL,ESENTEPE,29.178546597846935,40.903367078224946,151348438,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Şehit Timur Aktemur Ortaokulu Bahçesi,İSTANBUL,KÖPRÜBAŞI,KARTAL,ATALAR,29.167849847893457,40.90426538939994,151348369,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Şehit Göksal Mustafa Ağaç Yetiştiren Parkı,İSTANBUL,ATALAR,KARTAL,ATALAR,29.172604045084732,40.90426538939994,151348368,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Şehit Eren Bülbül Parkı.,İSTANBUL,ÖZLEM,KARTAL,ATALAR,29.17616969297819,40.90426538939994,151348371,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Kartal  Borsa İstanbul  Kız Teknik ve Meslek Lisesi Bahçesi,İSTANBUL,TECERDAĞI,KARTAL,ESENTEPE,29.179735340871645,40.90426538939994,151348580,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Komşuluk ve Dayanışma Meydanı,İSTANBUL,ŞEHİT HAKAN KURBAN,KARTAL,ORHANTEPE,29.17022710793913,40.906062011749924,151348558,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Cevizli Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ASLI,KARTAL,ATALAR,29.171415786403575,40.90696032292492,151348359,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Ali Ekber Karagöz Parkı,İSTANBUL,KÖROĞLU,KARTAL,CEVİZLİ,29.17498157960536,40.90696032292492,151348444,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
Anafartalar Parkı,İSTANBUL,KÖROĞLU,KARTAL,CEVİZLİ,29.173793111046084,40.90785863409991,151348445,"[<POLYGON ((29.18 40.904, 29.18 40.904, 29.18 40.905, 29.179 40.905, 29.179 4...>]"
