tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Nişancı Mehmetpaşa Camii Bahçesi,İSTANBUL,ESKİ ALTAY,FATİH,ATİKALİ,28.94434807711473,41.02315491117499,151347777,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Koyunbaba Parkı,İSTANBUL,FEVZİPAŞA,FATİH,AKŞEMSETTİN,28.94434807711473,41.02315491117499,151347687,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Hırka-i Şerif Cami Avlusu,İSTANBUL,FEVZİPAŞA,FATİH,HIRKA-İ ŞERİF,28.94434807711473,41.02315491117499,151347673,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Yavuz Selim Çocuk Parkı,İSTANBUL,HAFIZPAŞA,FATİH,ATİKALİ,28.945538769486305,41.02315491117499,151347774,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Muallim Yahya İlkokulu Bançesi,İSTANBUL,BAKKALZADE,FATİH,ATİKALİ,28.945538834453046,41.024053222349984,151347776,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Fatih Sultan Mehmet Uluslararası Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,YAVUZ SELİM,FATİH,ALİ KUŞÇU,28.94792025167957,41.024053222349984,151347766,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Karagümrük Çocuk Parkı,İSTANBUL,FEVZİPAŞA,FATİH,HIRKA-İ ŞERİF,28.941966724855682,41.02495153352498,151347667,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Karagümrük Stadı Yanı Boş Alan,İSTANBUL,KARAKOL,FATİH,DERVİŞ ALİ,28.941966724855682,41.02495153352498,151347709,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Ozel Sultan Fatih Koleji Bahçesi,İSTANBUL,KARAKOL,FATİH,DERVİŞ ALİ,28.943157449711364,41.02495153352498,151347710,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Çerşamba Meydanı,İSTANBUL,DARÜŞŞAFAKA,FATİH,BALAT,28.94672962427841,41.02495153352498,151347718,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Çarşamba Çukurbostan Parkı,İSTANBUL,DARÜŞŞAFAKA,FATİH,BALAT,28.94792044659303,41.02584984469997,151347719,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
Dervişali Parkı,İSTANBUL,KURTAĞA ÇEŞMESİ,FATİH,DERVİŞ ALİ,28.943157514685467,41.02674815587496,151347704,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
İstanbul Recep Tayyip Erdoğan Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,SARAYAĞASI,FATİH,BALAT,28.9443482720282,41.02674815587496,151347722,"[<POLYGON ((28.945 41.022, 28.945 41.022, 28.946 41.023, 28.946 41.023, 28.94...>]"
