tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
HÜNKAR ÇAYIRI,KOCAELİ,2257.,GEBZE,CUMHURİYET,29.342165681197418,40.828264711174995,63185581,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Şehit Ertan Bayraktar Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ŞİFA YANYOL,TUZLA,ŞİFA,29.342165681197418,40.828264711174995,151349528,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Şehit Er Sezgin Zorba Parkı,İSTANBUL,ŞİFA YANYOL,TUZLA,ŞİFA,29.342165681197418,40.828264711174995,151349526,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Mecidiye Parkı,İSTANBUL,YAMAN,TUZLA,ŞİFA,29.346914425357074,40.828264711174995,151349524,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Mareşal Fevzi Çakmak Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İSTASYON,29.33741777337001,40.83006133352498,151349569,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Yunus Emre Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İSTASYON,29.33741777337001,40.83006133352498,151349572,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Yunus Emre Ortaokulu Bahçesi..,İSTANBUL,YAMAN,TUZLA,ŞİFA,29.34810273722886,40.83006133352498,151349530,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Batakçalı Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İSTASYON,29.33623095727355,40.83095964469997,151349562,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Şehit Bahadırhan Solak Parkı,İSTANBUL,ŞEKERPINAR,TUZLA,ŞİFA,29.350477768764854,40.83095964469997,151349523,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Fatih Sultan Mehmet İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ŞEKERPINAR,TUZLA,ŞİFA,29.35404140194071,40.83365457822495,151349527,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Çınarlı Bahçe Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İSTASYON,29.32792147544495,40.834552889399944,151349564,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Mevlana Parkı,İSTANBUL,ŞEKERPINAR,TUZLA,ŞİFA,29.35048074478325,40.83545120057494,151349525,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Uğurkent Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İSTASYON,29.324360062189616,40.83634951174993,151349571,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
İBB-Torosevleri Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,YAYLA,29.319611092916013,40.838146134099915,151349513,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Sağlık Ocağı Parkı,İSTANBUL,EMİROĞLU,TUZLA,MİMAR SİNAN,29.35523198268696,40.838146134099915,151349579,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Yavuz Selim Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,YAYLA,29.313674567604455,40.84084106762489,151349518,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Tuzla Stadı,İSTANBUL,D-100 KARAYOLU,TUZLA,İÇMELER,29.313674567604455,40.84084106762489,151349535,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Barış Manço Parkı,İSTANBUL,EMİROĞLU,TUZLA,MİMAR SİNAN,29.35642137323119,40.84084106762489,151349575,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
Okan Sokak Parkı,İSTANBUL,YENİYURT,TUZLA,AYDINLI,29.336235784013713,40.841739378799886,151349499,"[<POLYGON ((29.307 40.877, 29.307 40.877, 29.307 40.876, 29.307 40.876, 29.30...>]"
