tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
A. Yıldırım Parkı,İSTANBUL,HACI AHMETPAŞA ÇIKMAZI,ÜSKÜDAR,AZİZ MAHMUT HÜDAYİ,29.011062428321605,41.01981991117499,151350914,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Doğancılar Parkı,İSTANBUL,TUNUSBAĞI,ÜSKÜDAR,AHMEDİYE,29.011062428321605,41.01981991117499,151350900,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
İmrahor Bostanı,İSTANBUL,DOĞANCILAR,ÜSKÜDAR,SALACAK ,29.011062428321605,41.01981991117499,151350888,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Öğretmenler Parkı,İSTANBUL,DOĞANCILAR,ÜSKÜDAR,SALACAK ,29.012253060402006,41.01981991117499,151350835,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Hazarfen Ahmet Çelebi Ortaokulu Bahçesi,İSTANBUL,HALK,ÜSKÜDAR,AHMEDİYE,29.013443692482408,41.01981991117499,151350901,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Eski Asitane Bahçesi,İSTANBUL,HALK,ÜSKÜDAR,AHMEDİYE,29.013443692482408,41.01981991117499,151350824,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Tulumbacılar Parkı,İSTANBUL,OYMASARAY ÇIKMAZI,ÜSKÜDAR,AZİZ MAHMUT HÜDAYİ,29.011062493277418,41.020718222349984,151350856,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Ayazma Parkı,İSTANBUL,ÖĞDÜL,ÜSKÜDAR,AZİZ MAHMUT HÜDAYİ,29.00987189367713,41.02161653352498,151350855,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Eski Katlı Otopark Yeri,İSTANBUL,HAKİMİYETİ MİLLİYE,ÜSKÜDAR,MİMAR SİNAN,29.014634551913304,41.02161653352498,151350871,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
Eski Başkanlık Binası ve Çevresi,İSTANBUL,HAKİMİYETİ MİLLİYE,ÜSKÜDAR,MİMAR SİNAN,29.015825216472347,41.02161653352498,151350870,"[<POLYGON ((29.012 41.019, 29.012 41.019, 29.013 41.019, 29.013 41.019, 29.01...>]"
