tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kemal Paşa Parkı,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.08952703768111,40.99798991117499,151345563,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Doğuş Spor Kulübü,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.08952703768111,40.99798991117499,151345560,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Orhan Veli Ortaokulu ve Aşık Veysel Lisesi Bahçesi,İSTANBUL,3001.,ATAŞEHİR,AŞIKVEYSEL,29.08952703768111,40.99798991117499,151345562,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Sevgi Çiçeği Parkı,İSTANBUL,3049.,ATAŞEHİR,AŞIKVEYSEL,29.08952708634658,41.00068484469997,151345559,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Papatya Parkı,İSTANBUL,BİNGÖL,ATAŞEHİR,ESATPAŞA,29.089527118793896,41.002481467049954,151345551,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Pir Sultan Abdal Parkı ve Cem Evi Bahçesi,İSTANBUL,3001.,ATAŞEHİR,MUSTAFA KEMAL,29.091907756381687,41.002481467049954,151345491,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Deniz Gezmiş Parkı,İSTANBUL,3001.,ATAŞEHİR,MUSTAFA KEMAL,29.091907756381687,41.002481467049954,151345490,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Sahil Parkı,İSTANBUL,3048/1.,ATAŞEHİR,AŞIKVEYSEL,29.09071750248831,41.00427808939994,151345564,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Emre İncemollaoğlu Parkı,İSTANBUL,3033.,ATAŞEHİR,AŞIKVEYSEL,29.094288637351948,41.00517640057493,151345561,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
Ediz Sokak Boş Arazi,İSTANBUL,ESENEVLER,ÜMRANİYE,ESENEVLER,29.091907999775174,41.00697302292492,151349716,"[<POLYGON ((29.089 40.997, 29.089 40.997, 29.089 40.997, 29.089 40.997, 29.08...>, <POLYGON ((28.683 41.063, 28.683 41.063, 28.682 41.063, 28.681 41.063, 28.68...>]"
