tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ayazağa Anadolu Lisesi Bahçesi,İSTANBUL,HADIMKORU YOLU,SARIYER,AYAZAĞA,29.00449812334261,41.14016591117499,151348943,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Yeşiltepe Parkı,İSTANBUL,HADIMKORU YOLU,SARIYER,AYAZAĞA,29.00449812334261,41.14016591117499,151348937,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
21.Y.Y.Eğit.ve Kül.Vak. Nilüfer Gökay Ortaokulu Bahçesi,İSTANBUL,HADIMKORU YOLU,SARIYER,AYAZAĞA,29.00449812334261,41.14016591117499,151348942,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Orman Bölge Müdürlüğü Otoparkı,İSTANBUL,HADIMKORU YOLU,SARIYER,MASLAK,29.008076565843243,41.14016591117499,151440379,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
İzzet Baysal Huzurevi Bahçesi,İSTANBUL,BÜYÜKDERE,SARIYER,DARÜŞŞAFAKA,29.00927094847921,41.141962533524975,151348908,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Zübeyde Hanım İlkokulu Bahçesi,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,PTT EVLERİ,29.00807886958448,41.14286084469997,151348880,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Uğur Mumcu Parkı,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,PTT EVLERİ,29.00927173276713,41.14286084469997,151348879,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Mehmet Akif Milli Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,28.996152051588254,41.145555778224946,151348973,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Karadeniz Mahallesi Parkı,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,28.996152051588254,41.145555778224946,151348966,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
PTT Evleri Çaykur,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,29.005695349228958,41.145555778224946,151348859,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Özel Açı Okulları Bahçesi,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,28.99376794319673,41.148250711749924,151348967,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Özel Yüzyıl Işıl İlkokulu Bahçesi,İSTANBUL,208.,SARIYER,BAHÇEKÖY KEMER,28.97587417847944,41.15004733409991,151348968,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Osman Yumuk Spor Tesisleri  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,TAŞ OCAĞI YOLU,EYÜPSULTAN,MİMAR SİNAN,28.957979923563638,41.15723382349985,151347568,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Fırat Sokak Parkı ve Yanı Boş Alan,İSTANBUL,BAHÇEKÖY,EYÜPSULTAN,MİTHATPAŞA,28.9532074901249,41.16082706819982,151347552,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Bahçeköy Orman Fakültesi,İSTANBUL,VALİDE SULTAN,SARIYER,BAHÇEKÖY MERKEZ,28.99020266584412,41.171606802299735,151348920,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Pelit Sokak Parkı,İSTANBUL,DOĞANBEY,SARIYER,BAHÇEKÖY YENİ,28.9890113086607,41.175200046999706,151348962,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Bahçeköy Türkan Efe İlkokulu-Ortaokulu Bahçesi,İSTANBUL,ADNAN MENDERES,SARIYER,BAHÇEKÖY YENİ,28.98543232785475,41.177894980524684,151348963,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
Sadık Güney Parkı,İSTANBUL,ADNAN MENDERES,SARIYER,BAHÇEKÖY YENİ,28.989013338278088,41.17879329169968,151348960,"[<POLYGON ((28.954 41.194, 28.954 41.179, 28.952 41.164, 28.952 41.163, 28.95...>]"
