tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mehmet Akif Milli Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,KAZIM KARABEKİR PAŞA,28.999470707545754,41.167704911174994,151348973,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Özel Açı Okulları Bahçesi,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,28.999470707545754,41.167704911174994,151348967,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Salih Kavras Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,BAHÇEKÖY YENİ,28.999470707545754,41.167704911174994,151348961,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Pelit Sokak Parkı,İSTANBUL,BAHÇEKÖY,SARIYER,BAHÇEKÖY YENİ,29.000664022909433,41.167704911174994,151348962,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Karadeniz Mahallesi Parkı,İSTANBUL,BÜYÜKDERE BAHÇEKÖY YOLU,SARIYER,BAHÇEKÖY KEMER,28.99469749517277,41.16860322234999,151348966,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Özel Yüzyıl Işıl İlkokulu Bahçesi,İSTANBUL,MAREŞAL FEVZİ ÇAKMAK,SARIYER,BAHÇEKÖY KEMER,28.994697544256727,41.16950153352498,151348968,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Bahçeköy Orman Fakültesi,İSTANBUL,VALİDE SULTAN,SARIYER,BAHÇEKÖY MERKEZ,28.992310897173986,41.17219646704996,151348920,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Bahçeköy Türkan Efe İlkokulu-Ortaokulu Bahçesi,İSTANBUL,ORMAN,SARIYER,BAHÇEKÖY YENİ,28.9958912196132,41.17399308939994,151348963,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Sadık Güney Parkı,İSTANBUL,KÖKNAR,SARIYER,BAHÇEKÖY YENİ,28.993504490741678,41.177586334099914,151348960,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Zekeriyaköy Aygaz Parkı,İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.01499068183317,41.18656944584984,151348957,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
Köy İçi Parkı (Bahriye Üçok Parkı),İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.01499068183317,41.18656944584984,151348958,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
2 Temmuz Parkı,İSTANBUL,KAZIM KARABEKİR BİLİNMEYEN,SARIYER,KAZIM KARABEKİR PAŞA,29.01499068183317,41.18656944584984,151348858,"[<POLYGON ((29.015 41.186, 29.015 41.186, 29.015 41.186, 29.015 41.187, 29.01...>]"
