tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Otoban Yanı Yeşillik Alan,İSTANBUL,HADIMKÖY - BAHÇEŞEHİR YOLU,ESENYURT,ESENKENT ,28.68844063858221,41.059749111174995,151347434,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Turgut Özal Parkı,İSTANBUL,SÜZER,BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,28.68844063858221,41.059749111174995,151346329,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Atatürk Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.68844063858221,41.059749111174995,151346332,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Esenyurt Atatürk Ortaokulu Bahçesi,İSTANBUL,HADIMKÖY - BAHÇEŞEHİR YOLU,ESENYURT,ESENKENT ,28.687249934850165,41.06064742234999,151347433,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
1 Nolu Park,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.686059198603562,41.06154573352498,151346330,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Funda Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.677720530103947,41.063342355874966,151346335,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Funda 02 Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.677720530103947,41.063342355874966,151346334,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Hasbahçe Parkı,İSTANBUL,HADIMKÖY - BAHÇEŞEHİR YOLU,ESENYURT,AŞIK VEYSEL,28.677720530103947,41.063342355874966,151347446,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Gül 12 Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.678911949794696,41.063342355874966,151346336,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Atatürk Yürüyüş Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,ESENYURT,AŞIK VEYSEL,28.671764310500638,41.06513897822495,151347444,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Şelale Parkı,İSTANBUL,PALET,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.682487380667517,41.06513897822495,151346338,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
6 Nolu Park,İSTANBUL,LİMAN,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.68368003736811,41.066935600574936,151346331,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Boğazköy Parkı,İSTANBUL,ESENKENT BAHÇEŞEHİR YOLU,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,28.668191125711722,41.06783391174993,151346333,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Erguvan Parkı,İSTANBUL,1673.,ESENYURT,ORHAN GAZİ,28.666999999041945,41.06873222292492,151347463,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Bahçeşehir Park (Gölet) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,AVNİ AKYOL,BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,28.684873996523727,41.07052884527491,151346328,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Balaban Deresi Sokak Sonu Parkı,İSTANBUL,AVNİ AKYOL,BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,28.687257747562278,41.0714271564499,151346358,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
Yasemin Parkı,İSTANBUL,ATATÜRK,ESENYURT,ORHAN GAZİ,28.66223516693641,41.07232546762489,151347464,"[<POLYGON ((28.692 41.073, 28.692 41.073, 28.691 41.073, 28.691 41.074, 28.69...>]"
