tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çarşamba Çukurbostan Parkı,İSTANBUL,LOKMACI DEDE,FATİH,BALAT,28.949313421661493,41.025259011174995,151347719,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Çerşamba Meydanı,İSTANBUL,LOKMACI DEDE,FATİH,BALAT,28.949313421661493,41.025259011174995,151347718,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Fatih Sultan Mehmet Uluslararası Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,YAVUZ SELİM,FATİH,ALİ KUŞÇU,28.949313421661493,41.025259011174995,151347766,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Yavuz Sultan Selim Camii Avlusu,İSTANBUL,YAVUZ SELİM,FATİH,BALAT,28.95050423329391,41.02615732234999,151347724,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Sultan Selim Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,YAVUZ SELİM,FATİH,BALAT,28.95050423329391,41.02615732234999,151347721,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
İstanbul Recep Tayyip Erdoğan Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,MANYASİZADE,FATİH,BALAT,28.94693202580585,41.02705563352498,151347722,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Mesnevihane Camii Avlusu,İSTANBUL,İSMAİLAĞA 1. ÇIKMAZI,FATİH,BALAT,28.948122788708776,41.02705563352498,151347723,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Ozel Sultan Fatih Koleji Bahçesi,İSTANBUL,ZÜLÜFLÜ,FATİH,DERVİŞ ALİ,28.945741279147807,41.02795394469997,151347710,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Mahmut Celalettin Ökten Meydanı,İSTANBUL,AYAN,FATİH,AYVANSARAY,28.94693215577373,41.03064887822495,151347760,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Edirnekapı Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,AYAN,FATİH,AYVANSARAY,28.94574134413469,41.031547189399944,151347763,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
Ayvansaray Mahkemealtı Parkı,İSTANBUL,HIZIR ÇAVUŞ KÖPRÜBAŞI,FATİH,AYVANSARAY,28.9469322207665,41.03244550057494,151347762,"[<POLYGON ((28.952 41.03, 28.952 41.03, 28.952 41.03, 28.953 41.031, 28.952 4...>]"
