tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çayırbaşı Fatma Seher Ortaokulu ve Bahçesi,İSTANBUL,KUZEYLİ,ŞİLE,ÇAYIRBAŞI,29.636284679149796,41.153466811174994,151349035,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Üzüm Sokak Parkı,İSTANBUL,BAHÇECİK,ŞİLE,BALİBEY,29.636284679149796,41.153466811174994,151349054,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Tavanlı Parkı,İSTANBUL,BAHÇECİK,ŞİLE,BALİBEY,29.636284679149796,41.153466811174994,151349050,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Yeniköy S.T.K Alanı,İSTANBUL,YENİKÖY,ŞİLE,YENİKÖY,29.654182875790124,41.157060055874965,151348979,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Kabakoz Köy Meydanı,İSTANBUL,URAL,ŞİLE,KABAKOZ,29.65537599733985,41.157060055874965,151349010,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Mercanköşk Çavuş Koruluğu,İSTANBUL,AĞVA,ŞİLE,ÇAVUŞ,29.627934430621185,41.15795836704996,151349018,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Boyacıdere Parkı,İSTANBUL,AĞVA,ŞİLE,ÇAVUŞ,29.62316269671574,41.16244992292492,151349017,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Bayrak Parkı,İSTANBUL,AĞVA,ŞİLE,ÇAVUŞ,29.61958326669354,41.16424654527491,151349016,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Balibey Parkı ( Balibey Mah.),İSTANBUL,GELİBOLU,ŞİLE,BALİBEY,29.63032253815666,41.16424654527491,151349051,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Mesut Sokak Parkı,İSTANBUL,AĞVA,ŞİLE,ÇAVUŞ,29.614810453460375,41.16783978997488,151349019,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Park (75.Yıl Cad. ile Göktürk Sk. Kesişimi),İSTANBUL,USTA,ŞİLE,BALİBEY,29.617197089100625,41.16783978997488,151349052,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Balibey Parkı (Hacı Kasım Mah.),İSTANBUL,BAĞLAR YOLU,ŞİLE,HACI KASIM,29.614810944381205,41.176822901724805,151348986,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Havuzlu Park,İSTANBUL,NUR GÜZEY,ŞİLE,BALİBEY,29.614810944381205,41.176822901724805,151349063,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Vadi İçi Parkı,İSTANBUL,FENER YOKUŞU,ŞİLE,BALİBEY,29.61361749565702,41.1777212128998,151349062,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
Maşatlık Parkı,İSTANBUL,CAMİ,ŞİLE,BALİBEY,29.61481099348553,41.1777212128998,151349053,"[<POLYGON ((29.658 41.165, 29.657 41.166, 29.657 41.166, 29.655 41.166, 29.65...>]"
