tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
 Kavşak Parkı (Barbaros  Mah. Paladyum AVM Yanı),İSTANBUL,YAVUZLAR,ATAŞEHİR,BARBAROS,29.094831721544086,40.982350111174995,151345575,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
İçerenköy Carrefour Otopark,İSTANBUL,KAYIŞDAĞI,ATAŞEHİR,İÇERENKÖY,29.094831721544086,40.982350111174995,151345621,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Habire Yahşi Anadolu Lisesi Bahçesi,İSTANBUL,YAVUZLAR,ATAŞEHİR,BARBAROS,29.094831721544086,40.982350111174995,151345577,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Doğa Koleji Bahçesi,İSTANBUL,KARDELEN,ATAŞEHİR,BARBAROS,29.100781644348896,40.98324842234999,151345576,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Esin Işık Parkı,İSTANBUL,HALK,KADIKÖY,SAHRAYICEDİT,29.092451875606724,40.98414673352498,151348142,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Erguvan Parkı,İSTANBUL,HALK,KADIKÖY,SAHRAYICEDİT,29.092451875606724,40.98414673352498,151348144,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Bülent Ecevit Parkı,İSTANBUL,KARDELEN,ATAŞEHİR,BARBAROS,29.10078179023025,40.98414673352498,151345569,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Beyaz Fırın Önü Parkı,İSTANBUL,HALK,ATAŞEHİR,KÜÇÜKBAKKALKÖY,29.104351948157547,40.98504504469997,151345539,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Örnek Karakol Karşısı,İSTANBUL,HALK,ATAŞEHİR,BARBAROS,29.10316247911533,40.98773997822495,151345571,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
Ataşehir Spor Tesisi,İSTANBUL,FESLEĞEN,ATAŞEHİR,BARBAROS,29.107922689702722,40.98773997822495,151345572,"[<POLYGON ((29.092 40.991, 29.092 40.991, 29.092 40.991, 29.092 40.991, 29.09...>, <POLYGON ((28.834 41.031, 28.835 41.031, 28.835 41.03, 28.835 41.03, 28.835 ...>, <POLYGON ((29.039 41.012, 29.039 41.012, 29.04 41.013, 29.04 41.013, 29.041 ...>]"
