tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Florya Atatürk Ormanı,İSTANBUL,ATATÜRK KÖŞKÜ,BAKIRKÖY,BASINKÖY,28.786539696392044,40.97170151117499,151346322,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Ziya Gökalp Parkı,İSTANBUL,YEŞİLKÖY HALKALI,BAKIRKÖY,ŞENLİKKÖY,28.786539696392044,40.97170151117499,151346257,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Germeyan Parkı,İSTANBUL,YEŞİLKÖY HALKALI,BAKIRKÖY,ŞENLİKKÖY,28.786539696392044,40.97170151117499,151346256,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Bilgili Sokak Parkı,İSTANBUL,ATATÜRK KÖŞKÜ,BAKIRKÖY,BASINKÖY,28.78535009507971,40.972599822349984,151346252,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Tepe Sokak Parkı,İSTANBUL,ATATÜRK KÖŞKÜ,BAKIRKÖY,BASINKÖY,28.78297066566648,40.97349813352498,151346254,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Havacılar Sitesi Parkı,İSTANBUL,VALİLİK YOLU,BAKIRKÖY,BASINKÖY,28.785350419093806,40.97439644469997,151346253,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Atatürk Parkı,İSTANBUL,FLORYA,BAKIRKÖY,ŞENLİKKÖY,28.787730042912568,40.97439644469997,151346258,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Mustafa Pars Parkı,İSTANBUL,FLORYA,BAKIRKÖY,ŞENLİKKÖY,28.78891985482195,40.97439644469997,151346255,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Türk Hava Yolları Eğitim Merkezi Karşısı Boş Alan,İSTANBUL,FLORYA,BAKIRKÖY,ŞENLİKKÖY,28.788920697372998,40.97798968939994,151346264,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Florya Yeni Cami Park,İSTANBUL,ŞEHİT MUAMMER YÜZSÜREN,BAKIRKÖY,ŞENLİKKÖY,28.78773140404905,40.98068462292492,151346262,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Küçükçekmece İMKB Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ESKİ EDİRNE ASFALTI,KÜÇÜKÇEKMECE,CENNET,28.775832183088728,40.98158293409991,151350049,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Gaffar Okan Parkı,İSTANBUL,KAHRAMANLAR,KÜÇÜKÇEKMECE,CENNET,28.786541656988007,40.98158293409991,151350042,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Çok Amaçlı Spor Alanı ve Sit Arazisi,İSTANBUL,ESKİ EDİRNE ASFALTI,KÜÇÜKÇEKMECE,CENNET,28.775832247920892,40.9833795564499,151350047,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
Antikalar Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,KÜÇÜKÇEKMECE,CENNET,28.775832280339184,40.98427786762489,151350041,"[<POLYGON ((28.782 40.985, 28.78 40.985, 28.779 40.986, 28.778 40.986, 28.777...>]"
