tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pendik Burun Otoparkı (Eski Tenis Kortları),İSTANBUL,SAHİL,PENDİK,BATI,29.23682365910827,40.86859651117499,151439552,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Pendik Merkez İlkokulu Bahçesi,İSTANBUL,SAHİL,PENDİK,BATI,29.23682365910827,40.86859651117499,151439551,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Nihat Öztürk Barış Parkı,İSTANBUL,SAHİL,PENDİK,BATI,29.23682365910827,40.86859651117499,151350276,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Şehit Mustafa Saltık Parkı.,İSTANBUL,ABDÜLHALİK RENDA,PENDİK,YENİ,29.224945344353632,40.87398637822495,151437387,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Pendik Lisesi Bahçesi,İSTANBUL,SAHİL,PENDİK,BATI,29.22375745164961,40.87488468939994,151350278,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Gazipaşa Parkı,İSTANBUL,SAHİL,PENDİK,BATI,29.233261624963454,40.87488468939994,151350277,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Pendik Veterinerlik Enstitüsü,İSTANBUL,SAHİL,PENDİK,BATI,29.22256952670993,40.875783000574934,151350279,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Sancak Köprüsü Parkı,İSTANBUL,ABDÜLHALİK RENDA,PENDİK,YENİ,29.223757564494917,40.875783000574934,151439558,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Pendik Merkez İmam Hatip Okulu Bahçesi,İSTANBUL,ADİL,PENDİK,SAPAN BAĞLARI,29.220193515625912,40.87668131174993,151350166,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Sema Sokak Halı Saha,İSTANBUL,ADİL,PENDİK,SAPAN BAĞLARI,29.220193515625912,40.87668131174993,151350164,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
Şehit Selami Yurdan Parkı,İSTANBUL,ABDÜLHALİK RENDA,PENDİK,YENİ,29.228510425028496,40.879376245274905,151350280,"[<POLYGON ((29.236 40.875, 29.236 40.875, 29.236 40.875, 29.236 40.875, 29.23...>]"
