tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumhuriyet Parkı,İSTANBUL,BAĞCILAR,BAĞCILAR,YILDIZTEPE,28.85745228227036,41.02812661117499,151345987,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Ahmet Ziyaüddin Gümüşhanevi Parkı,İSTANBUL,656.,BAĞCILAR,YENİGÜN,28.85745228227036,41.02812661117499,151346007,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Merkez Parkı,İSTANBUL,661.,BAĞCILAR,MERKEZ,28.85745228227036,41.02812661117499,151345913,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Şehit Özcan Canik Parkı  (Güngören İlçesinde),İSTANBUL,675.,GÜNGÖREN,GÜNEŞTEPE,28.85864306454072,41.02812661117499,151347942,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Güngören İmam Hatip Ortaokulu Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,MERKEZ,28.871741669514677,41.02812661117499,151347934,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
İTO Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,GENÇOSMAN,28.871741669514677,41.02812661117499,151348006,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Cemil Meriç Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,GENÇOSMAN,28.871741669514677,41.02812661117499,151347998,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Dr. Sadık Ahmet Parkı,İSTANBUL,GÜNGÖREN,BAĞCILAR,MERKEZ,28.86936028367728,41.02902492234998,151345917,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Şeyh Şamil Parkı,İSTANBUL,GÜNGÖREN,GÜNGÖREN,GÜNEŞTEPE,28.86936028367728,41.02902492234998,151347943,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Çamlıca Vakfı Özel Eğitim Uygulama Okulu Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,GENÇOSMAN,28.871741880709514,41.02902492234998,151348008,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Merkez Mahallesi Muhtarlık Yanı Park,İSTANBUL,666.,BAĞCILAR,MERKEZ,28.857452314762607,41.029923233524976,151345920,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Güneşlitepe İlkokulu Bahçesi,İSTANBUL,692.,GÜNGÖREN,GÜNEŞTEPE,28.861024759050434,41.029923233524976,151347948,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Bağcılar İlkokulu Bahçesi,İSTANBUL,696.,BAĞCILAR,MERKEZ,28.861024759050434,41.029923233524976,151345922,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Akyiğit Ortaokulu Bahçesi,İSTANBUL,694.,BAĞCILAR,MERKEZ,28.86340638857565,41.029923233524976,151345921,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Kuba Camii Bahçesi,İSTANBUL,GÜNGÖREN,GÜNGÖREN,GÜNEŞTEPE,28.86459720333826,41.029923233524976,151347946,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
718. Sokak Parkı,İSTANBUL,709.,BAĞCILAR,MERKEZ,28.86578801810087,41.029923233524976,151345915,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Kızılcık Bahçesi Parkı,İSTANBUL,718.,BAĞCILAR,MERKEZ,28.866978832863477,41.029923233524976,151345918,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Sevgi Ormanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DR. SADIK AHMET,BAĞCILAR,MERKEZ,28.870551277151304,41.029923233524976,151345916,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Şehit Bayram Çağlar Parkı,İSTANBUL,BAĞCILAR,BAĞCILAR,İNÖNÜ,28.85745233100984,41.03082154469997,151345782,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Aile Parkı,İSTANBUL,702.,BAĞCILAR,MERKEZ,28.862215655049198,41.03082154469997,151345914,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Mehmet Akif Camii Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,GENÇOSMAN,28.870551472118077,41.03082154469997,151347996,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Bağcılar Meydan (Sancaktepe ortak kullanım) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BAĞCILAR,BAĞCILAR,YAVUZ SELİM,28.857452347257805,41.03171985587496,151346047,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Şehit Eren Bülbül Parkı..,İSTANBUL,684.,BAĞCILAR,MERKEZ,28.85864319451561,41.03171985587496,151345919,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
M.Asım Hacı Mustafaoğlu Parkı,İSTANBUL,İSTANBUL,BAĞCILAR,ÇINAR,28.859834090519524,41.032618167049954,151345808,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Ümmü Mihcen Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,İSTANBUL,BAĞCILAR,ÇINAR,28.86221581753254,41.032618167049954,151345811,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Genç Osman İmam Hatip Ortaokulu Bahçesi,İSTANBUL,DOĞANBEY,GÜNGÖREN,GENÇOSMAN,28.8705518620781,41.032618167049954,151348001,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
897. Sokak Yeşil Alan,İSTANBUL,İSTANBUL,BAĞCILAR,SANCAKTEPE,28.85745239600612,41.03441478939994,151345813,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
Dede Korkut İlkokulu Bahçesi,İSTANBUL,ESENLER,BAĞCILAR,ÇINAR,28.86817046006122,41.03441478939994,151345810,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
757. Sokak Parkı,İSTANBUL,ESENLER,BAĞCILAR,ÇINAR,28.86936171359545,41.036211411749925,151345802,"[<POLYGON ((28.859 41.028, 28.86 41.028, 28.859 41.028, 28.859 41.029, 28.86 ...>]"
