tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumhuriyet Meydanı,İSTANBUL,KÜÇÜKKÖY,GAZİOSMANPAŞA,MERKEZ,28.91318161637683,41.059721211174995,151347911,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Hükümet Konağı Bahçesi.,İSTANBUL,KÜÇÜKKÖY,GAZİOSMANPAŞA,MERKEZ,28.91318161637683,41.059721211174995,151347871,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Şehit Hasan Güreşen Parkı,İSTANBUL,KÜÇÜKKÖY,GAZİOSMANPAŞA,MERKEZ,28.91318161637683,41.059721211174995,151347867,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Başkanlık Binası Bahçesi (Aynı Zamanda  TRANSFER ALANIDIR.),İSTANBUL,KÜÇÜKKÖY,GAZİOSMANPAŞA,MERKEZ,28.914372970471035,41.059721211174995,151347868,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Bekir Sami Dedeoğlu İlkokulu Bahçesi,İSTANBUL,GÜLLÜ,GAZİOSMANPAŞA,SARIGÖL,28.914372970471035,41.059721211174995,151347796,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Şehit Ayhan Akgün Parkı,İSTANBUL,TULUMBA,GAZİOSMANPAŞA,BAĞLARBAŞI,28.91437305182937,41.06061952234999,151347856,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Fahreddin Paşa Parkı,İSTANBUL,SAPAN,GAZİOSMANPAŞA,BAĞLARBAŞI,28.9107990383706,41.063314455874966,151347855,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
İstanbul Caddesi Mesire Alanı,İSTANBUL,KEÇEYOLU,GAZİOSMANPAŞA,BAĞLARBAŞI,28.911990506379748,41.06421276704996,151347852,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Emek Sokak Yeşil Alan,İSTANBUL,AKINCILAR,GAZİOSMANPAŞA,BAĞLARBAŞI,28.915564812759495,41.06421276704996,151347853,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Şehit Tarkan Selvi Parkı,İSTANBUL,MİTHATPAŞA,GAZİOSMANPAŞA,BAĞLARBAŞI,28.91675624821941,41.06421276704996,151347854,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
797.Sokak Parkı,İSTANBUL,İSTANBUL,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.90960765173527,41.06511107822495,151347885,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Şehit Kemal Bıçak Parkı,İSTANBUL,HAŞİM YILMAZ,GAZİOSMANPAŞA,SARIGÖL,28.91794794409088,41.066009389399944,151347914,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Kırkçeşme Yürüyüş Parkı,İSTANBUL,İSTANBUL,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.91318213715277,41.06690770057494,151347886,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Şelale Parkı Yanı Açık Halı Saha,İSTANBUL,İSTANBUL,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,28.91556520339454,41.06780601174993,151347895,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Yağlıdere Parkı,İSTANBUL,GAZİ OSMANPAŞA,GAZİOSMANPAŞA,KAZIM KARABEKİR,28.916756817908443,41.06870432292492,151347563,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Kamuran Kumkuoğlu Parkı,İSTANBUL,ESMA,MALTEPE,YALI,29.137682846084818,40.91937061117499,151348655,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Bağlarbaşı Lunaparkı,İSTANBUL,YENİ ÇIKMAZI,MALTEPE,BAĞLARBAŞI,29.137682846084818,40.91937061117499,151348751,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Bağlarbaşı Otopark,İSTANBUL,YENİ ÇIKMAZI,MALTEPE,BAĞLARBAŞI,29.137682846084818,40.91937061117499,151348750,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Bağlarbaşı Mahallesi Pazar Yeri,İSTANBUL,ESENYURT,MALTEPE,BAĞLARBAŞI,29.138871666954078,40.91937061117499,151348747,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Ataköseoğlu İlkokulu Bahçesi,İSTANBUL,ONURLU,MALTEPE,YALI,29.135305285130958,40.92026892234998,151348656,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Vasfirızazobu İlkokulu Bahçesi,İSTANBUL,FATİH,MALTEPE,CEVİZLİ,29.140060633235723,40.92026892234998,151348729,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Hasan Polat Stadyumu,İSTANBUL,İSTASYON,MALTEPE,YALI,29.132927659551566,40.921167233524976,151348658,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Feyzullah-Turgay Ciner Ortaokulu Bahçesi,İSTANBUL,MANOLYA,MALTEPE,BAĞLARBAŞI,29.132927659551566,40.921167233524976,151348759,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Ümitli Sokak Parkı,İSTANBUL,FATİH,MALTEPE,BAĞLARBAŞI,29.14124963183855,40.921167233524976,151348764,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Maltepe Meydanı,İSTANBUL,ATATÜRK,MALTEPE,ALTAYÇEŞME,29.13054996934225,40.92206554469997,151348644,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Gülyolu Parkı,İSTANBUL,MEŞALELİ ÇIKMAZI,MALTEPE,BAĞLARBAŞI,29.137683185395755,40.92206554469997,151348748,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
Bağlarbaşı Muhtarlık Parkı,İSTANBUL,YENİYOL,MALTEPE,BAĞLARBAŞI,29.135305527506873,40.92296385587496,151348762,"[<POLYGON ((28.922 41.067, 28.921 41.067, 28.92 41.068, 28.919 41.068, 28.918...>, <POLYGON ((29.139 40.918, 29.139 40.919, 29.14 40.919, 29.14 40.92, 29.14 40...>]"
