tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İSTOÇ Kavşağı Piknik Alanı Bahçesi,İSTANBUL,BATIŞEHİR,BAĞCILAR,GÖZTEPE,28.83243818006301,41.069748111174995,151345958,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Bölge İdare Mahkemesi Önü Yeşil Alan,İSTANBUL,2457.,BAĞCILAR,MAHMUTBEY,28.83243818006301,41.069748111174995,151345827,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
İstoç İlkokulu Bahçesi,İSTANBUL,BATIŞEHİR,BAĞCILAR,GÖZTEPE,28.83243818006301,41.069748111174995,151345959,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Mahmutbey Çadır Alanı Bahçesi,İSTANBUL,2457.,BAĞCILAR,MAHMUTBEY,28.821714748945205,41.07064642234999,151345829,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Hacı Bostan Cami ve Yanındaki Parkı,İSTANBUL,2457.,BAĞCILAR,MAHMUTBEY,28.821714748945205,41.07064642234999,151345825,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Mahmutbey Stadyum Parkı,İSTANBUL,2447.,BAĞCILAR,MAHMUTBEY,28.818140434720437,41.07154473352498,151345835,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Mahmutbey Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,BATIŞEHİR,BAĞCILAR,GÖZTEPE,28.83601395952075,41.07154473352498,151345957,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Sular Vadisi,İSTANBUL,YAŞAR DOĞU,BAŞAKŞEHİR,BAŞAK,28.814566022825147,41.07244304469997,151346370,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Fetih Caddesi Piknik Alanı,İSTANBUL,HÜSEYİN KARAARSLAN,BAĞCILAR,100. YIL,28.839595015512213,41.08052784527491,151346044,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
Mustafa Kemal Parkı,İSTANBUL,HÜSEYİN KARAARSLAN,BAĞCILAR,100. YIL,28.840786746679193,41.08052784527491,151345925,"[<POLYGON ((28.834 41.069, 28.837 41.071, 28.837 41.072, 28.839 41.076, 28.84...>, <POLYGON ((28.468 41.345, 28.469 41.346, 28.469 41.347, 28.47 41.348, 28.47 ...>]"
