tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Emine-İbrahim Pekin Ortaokulu Bahçesi,İSTANBUL,KANAAT,MALTEPE,GİRNE,29.133688650751708,40.945440111174996,151348631,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Irmak Sokak Parkı,İSTANBUL,KANAAT,MALTEPE,GİRNE,29.133688650751708,40.945440111174996,151348627,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Atilla Uras Anadolu Lisesi Bahçesi,İSTANBUL,KANAAT,MALTEPE,GİRNE,29.133688650751708,40.945440111174996,151348630,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Narlıpınar Parkı,İSTANBUL,GİRNE,MALTEPE,GİRNE,29.13487794080182,40.945440111174996,151348628,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Girne Merkez Cami Bahçesi,İSTANBUL,GİRNE,MALTEPE,GİRNE,29.136067230851936,40.945440111174996,151348633,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Evliya Çelebi İlkokulu Bahçesi,İSTANBUL,GİRNE,MALTEPE,GİRNE,29.142013681102505,40.945440111174996,151348632,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Muhtarlık Parkı,İSTANBUL,GİRNE,MALTEPE,GİRNE,29.142013681102505,40.945440111174996,151348626,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Altın Yıllar Yaşam Merkezi,İSTANBUL,GİRNE,MALTEPE,GİRNE,29.142013681102505,40.945440111174996,151348629,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Bitlis Nemrut Parkı,İSTANBUL,SÜREYYA,MALTEPE,ZÜMRÜTEVLER,29.145581551252846,40.945440111174996,151348692,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
Küçükyalı Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,BAĞLANTI YOLU,MALTEPE,AYDINEVLER,29.13368889342431,40.94633842234999,151348620,"[<POLYGON ((29.15 40.972, 29.149 40.972, 29.149 40.973, 29.149 40.973, 29.148...>]"
