tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Zeytinburnu 15 Temmuz Meydan,İSTANBUL,PROF. DR. MUAMMER AKSOY,ZEYTİNBURNU,BEŞTELSİZ,28.903702869791267,40.995066411174996,151349899,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Zeytinburnu Millet Bahçesi,İSTANBUL,PROF. DR. MUAMMER AKSOY,ZEYTİNBURNU,BEŞTELSİZ,28.903702869791267,40.995066411174996,151349901,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Zeytin Park,İSTANBUL,PROF. DR. MUAMMER AKSOY,ZEYTİNBURNU,BEŞTELSİZ,28.903702869791267,40.995066411174996,151349896,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Zeytinburnu Stadı,İSTANBUL,84/E,ZEYTİNBURNU,TELSİZ,28.90727342447817,40.995066411174996,151349887,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Dr.Ziya Gün Parkı,İSTANBUL,BELEDİYE,ZEYTİNBURNU,TELSİZ,28.908463609373804,40.995066411174996,151349889,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Stad Parkı,İSTANBUL,BELEDİYE,ZEYTİNBURNU,TELSİZ,28.910843979165072,40.995066411174996,151349888,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Özgürlük Parkı,İSTANBUL,114. ARALIK,ZEYTİNBURNU,BEŞTELSİZ,28.903702999549658,40.99865965587497,151349898,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Osman Zeki Bayraktar Parkı,İSTANBUL,106.,ZEYTİNBURNU,BEŞTELSİZ,28.907273748874147,40.99865965587497,151349897,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Öğretmenler Parkı,İSTANBUL,135.,ZEYTİNBURNU,BEŞTELSİZ,28.906083693767762,41.001354589399945,151349900,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
Seyitnizam Parkı,İSTANBUL,GÜMÜŞSUYU DAVUTPAŞA,ZEYTİNBURNU,SEYİTNİZAM,28.907274073328903,41.00225290057494,151349882,"[<POLYGON ((28.902 41.004, 28.902 41.003, 28.902 41.002, 28.901 41.002, 28.90...>]"
