tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Tuna Mesleki ve Teknik Anadolu Lisesi Karşısı Yeşil Alan,İSTANBUL,ÇİNÇİN DERE,ESENLER,TUNA,28.867532442380853,41.04685881117499,151347289,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Hz. Bilal Habeşi Camii Yanı Parkı,İSTANBUL,777.,ESENLER,BİRLİK,28.867532442380853,41.04685881117499,151347342,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Türk-İsveç Kardeşlik İlkokulu Bahçesi,İSTANBUL,ÇİNÇİN DERE,ESENLER,TUNA,28.867532442380853,41.04685881117499,151347288,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Şelale Parkı,İSTANBUL,ÇİNÇİN DERE,ESENLER,TUNA,28.866341337451537,41.047757122349985,151347284,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
783. Sokak Açık Otopark,İSTANBUL,775.,ESENLER,BİRLİK,28.866341337451537,41.047757122349985,151347349,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
1039. Sokak Açık Otopark Alanı,İSTANBUL,ULUBATLI,ESENLER,KAZIM KARABEKİR,28.868723612354614,41.047757122349985,151347357,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Kazım Karabekir İmam Hatip Ortaokulu Bahçesi,İSTANBUL,KAZIM KARABEKİR,ESENLER,KAZIM KARABEKİR,28.87110588725769,41.047757122349985,151439642,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Kazım Karabekir İlkokulu Bahçesi.,İSTANBUL,KAZIM KARABEKİR,ESENLER,KAZIM KARABEKİR,28.87110588725769,41.047757122349985,151347356,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Cumhuriyet İlkokulu Bahçesi.,İSTANBUL,BAHADIR,ESENLER,KAZIM KARABEKİR,28.87229702470923,41.047757122349985,151347355,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Şehit Hüseyin Kısa Ortaokulu Bahçesi,İSTANBUL,785.,ESENLER,BİRLİK,28.866341353713388,41.04865543352498,151347348,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Taş Camii Önü Meydan ve Park Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,805.,ESENLER,BİRLİK,28.869914814853555,41.04865543352498,151347347,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
819. Sokak Açık Otopark,İSTANBUL,813.,ESENLER,BİRLİK,28.871105968566944,41.04865543352498,151347343,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
821.Sokak Parkı,İSTANBUL,813.,ESENLER,BİRLİK,28.871105968566944,41.04865543352498,151347344,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
Kazım Karabekir Durak Arkası Açık Otopark,İSTANBUL,BAHADIR,ESENLER,KAZIM KARABEKİR,28.872297122280333,41.04865543352498,151347354,"[<POLYGON ((28.877 41.048, 28.877 41.048, 28.876 41.049, 28.876 41.05, 28.875...>]"
