tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bolluca Stadı,İSTANBUL,PALA,ARNAVUTKÖY,ATATÜRK,28.767049442960293,41.19516861117499,151345433,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Bolluca Parkı,İSTANBUL,İSMET İNÖNÜ,ARNAVUTKÖY,HİCRET,28.767049442960293,41.19516861117499,151345419,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Şeyh Şamil Parkı,İSTANBUL,İSMET İNÖNÜ,ARNAVUTKÖY,BOLLUCA,28.767049442960293,41.19516861117499,151345378,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Emir Sultan Parkı,İSTANBUL,SIRMA,ARNAVUTKÖY,BOLLUCA,28.77063128382128,41.19696523352498,151441231,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Orhaniye Sokak Spor Alanı,İSTANBUL,GÜLFİDAN,ARNAVUTKÖY,BOLLUCA,28.77063148043849,41.19786354469997,151441234,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Bolluca Ek Hizmet Binası Bahçesi,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,HİCRET,28.76466226995433,41.19876185587496,151441245,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
23 Nisan Egemenlik Parkı,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,MAVİGÖL,28.767050032798423,41.19876185587496,151345343,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Eyüp Sultan Caddesi Yeşil Alan,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,MAVİGÖL,28.764662499367034,41.20055847822495,151441255,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Göktürk Caddesi Park Alanı,İSTANBUL,HANİFE,ARNAVUTKÖY,BOLLUCA,28.773020128162393,41.20145678939994,151441233,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Ensar Parkı.,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,MAVİGÖL,28.768245061414135,41.20505003409991,151441256,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Mavigöl Parkı,İSTANBUL,SÜMELA,ARNAVUTKÖY,MAVİGÖL,28.792125967752,41.2068466564499,151345477,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Rabia Parkı,İSTANBUL,KOCA YUSUF,ARNAVUTKÖY,MAVİGÖL,28.767051950511675,41.21043990114987,151345342,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
İhsaniye Köyü Futbol Sahası Ve Etrafı,İSTANBUL,İHSANİYE İSTANBUL,EYÜPSULTAN,İHSANİYE,28.794519797226748,41.21672807937482,151347595,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Şehit Er Musa Tikicieri Parkı,İSTANBUL,İNCİRLİOVA,ARNAVUTKÖY,İMRAHOR,28.75749932568946,41.21762639054981,151345465,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Ulubatlı Hasan Parkı,İSTANBUL,KAŞGARLI MAHMUT,ARNAVUTKÖY,MAVİGÖL,28.75749932568946,41.21762639054981,151345341,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Malkoçoğlu Camii Bahçesi,İSTANBUL,MANAVGAT,ARNAVUTKÖY,İMRAHOR,28.75869355137892,41.21762639054981,151345463,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
Işıklar Köyü Hazar Sokak ile Rüya Sokak Sokak Arası Boş Alan,İSTANBUL,CENAP,EYÜPSULTAN,IŞIKLAR,28.795717254306005,41.222117946424774,151347597,"[<POLYGON ((28.786 41.249, 28.779 41.249, 28.778 41.248, 28.777 41.247, 28.77...>]"
