tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Dursunköy Parkı,İSTANBUL,DURSUNKÖY-BOYALIK,ARNAVUTKÖY,DURSUNKÖY,28.627724761098065,41.23152761117499,151345340,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Boyalık Parkı,İSTANBUL,DURSUNKÖY-BOYALIK,ARNAVUTKÖY,BOYALIK,28.627724761098065,41.23152761117499,151345441,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Yassı Ören Parkı,İSTANBUL,DURSUNKÖY-YASSIÖREN,ARNAVUTKÖY,YASSIÖREN,28.627724761098065,41.23152761117499,151345452,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Baklalı Parkı,İSTANBUL,BOYALIK-BAKLALI,ARNAVUTKÖY,BAKLALI,28.63250267945442,41.23152761117499,151345435,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Balaban Köy Meydanı,İSTANBUL,KUŞKONMAZ,ARNAVUTKÖY,BALABAN,28.606240226028405,41.262968502299735,151345417,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Boyalık Caddesi Parkı,İSTANBUL,KARA ÇINAR,ARNAVUTKÖY,BALABAN,28.637313418558428,41.26476512464972,151441216,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Durusu Parkı,İSTANBUL,HİDAYET,ARNAVUTKÖY,DURUSU,28.639706355527764,41.2674600581747,151345461,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Balaban Parkı,İSTANBUL,KUŞKONMAZ,ARNAVUTKÖY,BALABAN,28.593100218349587,41.28093472579959,151345418,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Piri Reis Parkı.,İSTANBUL,TERKOS-KARABURUN,ARNAVUTKÖY,TERKOS,28.650481831855867,41.28362965932457,151345403,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Nihat Kaya Parkı,İSTANBUL,TERKOS-KARABURUN,ARNAVUTKÖY,TERKOS,28.64929166566246,41.28812121519953,151441269,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
Terkos Meydanı,İSTANBUL,TERKOS-KARABURUN,ARNAVUTKÖY,TERKOS,28.650487180750936,41.28812121519953,151441267,"[<POLYGON ((28.622 41.233, 28.623 41.233, 28.623 41.233, 28.625 41.232, 28.62...>]"
