tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumhuriyet Köy Parkı,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.27389311564541,41.136144811174994,151346636,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Cumhuriyet Futbol Sahası,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.27389311564541,41.136144811174994,151346635,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Hüseyinli Parkı,İSTANBUL,BEYKOZ,ÇEKMEKÖY,HÜSEYİNLİ,29.27389311564541,41.136144811174994,151347254,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Öğümce Stadı,İSTANBUL,TURUPLU,BEYKOZ,ÖĞÜMCE,29.27270060328588,41.137043122349986,151346630,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Vali Recep Yazıcıoğlu İlkokulu Bahçesi,İSTANBUL,BEYKOZ,ÇEKMEKÖY,HÜSEYİNLİ,29.277471926831073,41.13794143352498,151347253,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
0/788 Parselde Bulunan Park,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.276279430830463,41.13883974469997,151346638,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Kılıçlı İlkokulu Bahçesi,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.27747251494092,41.139738055874965,151346640,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Bozhane Futbol Sahası (0321 parsel),İSTANBUL,KAPADOKYA,BEYKOZ,BOZHANE,29.275087424981482,41.14153467822495,151346606,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Seniye İsmail Hanım Cad. No44 Yanı,İSTANBUL,TURUPLU,BEYKOZ,ÖĞÜMCE,29.273895566325496,41.14512792292492,151346629,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Kılıçlı Köy Parkı,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.27986074212649,41.146924545274906,151346639,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Muhtarlık Binası Önü (0/153),İSTANBUL,BARAJ YOLU,BEYKOZ,GÖLLÜ,29.282254890237933,41.16758570229974,151346626,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Karakiraz Köy Okulu ve BHA,İSTANBUL,İSTAÇ KATI ATIK TESİSLERİ,ŞİLE,KARAKİRAZ,29.313296746074432,41.185551925799594,151349021,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
Kurna Köy Camii-BHA ve Meydan,İSTANBUL,GÖKNUR,ŞİLE,KURNA,29.322855042474064,41.19453503754952,151349003,"[<POLYGON ((29.275 41.136, 29.276 41.135, 29.277 41.136, 29.278 41.139, 29.27...>]"
