tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şahika Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.809706836421608,41.13713741117499,151441217,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Pirinççi Köyü Ağaçkakan Sokak No:7 Kurban Kesim Yeri,İSTANBUL,ESKİ EDİRNE ASFALTI,EYÜPSULTAN,PİRİNÇÇİ,28.809706836421608,41.13713741117499,151347567,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Fatih Terim Stadyumu Otoparkı,İSTANBUL,ESKİ EDİRNE ASFALTI,BAŞAKŞEHİR,BAŞAK,28.809706836421608,41.13713741117499,151346359,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Nurhayat Şevket Coşar Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.81209235460584,41.13713741117499,151349339,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Veysel Karani Can Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.814477872790075,41.13713741117499,151349338,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Fetih Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.801360871827637,41.141628967049954,151345467,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Başakşehir Millet Bahçesi,İSTANBUL,ESKİ EDİRNE ASFALTI,BAŞAKŞEHİR,KAYABAŞI,28.79062948830332,41.148815456449896,151346351,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Necip Fazıl Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.78705246992192,41.15240870114987,151345466,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Bilge Kağan  Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.78347676015341,41.15959519054981,151441230,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
Çınar Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.772739084955226,41.16229012407479,151345469,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.754 41.174, 28.754 41.174, 28.75...>]"
