tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Millet Parkı,İSTANBUL,KISIKLI,ÜSKÜDAR,BURHANİYE,29.04833885434272,41.022945511174996,151350762,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Vezir Spor Tesisleri,İSTANBUL,KISIKLI,ÜSKÜDAR,BURHANİYE,29.04833885434272,41.022945511174996,151350770,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
F. Kerim Gökay Parkı,İSTANBUL,KISIKLI,ÜSKÜDAR,ALTUNİZADE,29.04833885434272,41.022945511174996,151350852,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,NURBABA,ÜSKÜDAR,KISIKLI ,29.059055051613843,41.022945511174996,151350705,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Gençlik Merkezi Parkı,İSTANBUL,ESKİ KISIKLI,ÜSKÜDAR,BURHANİYE,29.059055051613843,41.022945511174996,151350764,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Küçük Çamlıca Korusu,İSTANBUL,KISIKLI,ÜSKÜDAR,KÜÇÜK ÇAMLICA,29.060245740199523,41.022945511174996,151350894,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Tunuslu Mahmut Paşa Parkı,İSTANBUL,HACI REŞİT PAŞA,ÜSKÜDAR,BURHANİYE,29.048338919308765,41.02384382234999,151350767,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Koç Holding Sosyal Tesisleri,İSTANBUL,KUŞBAKIŞI,ÜSKÜDAR,KUZGUNCUK ,29.047148263208324,41.02474213352498,151350908,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Aziziye Parkı,İSTANBUL,YUNUS EMRE,ÜSKÜDAR,BURHANİYE,29.0578647528333,41.02474213352498,151350766,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Özel Üsküdar S.E.V İlkokulu Bahçesi,İSTANBUL,HACI REŞİT PAŞA,ÜSKÜDAR,BURHANİYE,29.04714831193728,41.025640444699974,151350769,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Yeni Çamlıca Parkı,İSTANBUL,YILDIRIM BEYAZIT,ÜSKÜDAR,BURHANİYE,29.05667438911763,41.02653875587497,151350761,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Enveriye Parkı,İSTANBUL,BURHANİYE ABDULLAHAĞA,ÜSKÜDAR,BURHANİYE,29.04595763960121,41.02743706704996,151350763,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Lions İlkokulu Bahçesi,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.061437647009072,41.02743706704996,151350834,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Kağıtçıbaşı Parkı,İSTANBUL,KAĞITÇIBAŞI,ÜSKÜDAR,BURHANİYE,29.05072081627478,41.02833537822495,151350765,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Abdullah Ağa Parkı,İSTANBUL,GÜLERCE,ÜSKÜDAR,BURHANİYE,29.049530111458637,41.029233689399945,151350768,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Münevver Ayaşlı Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.053102778286334,41.03103031174993,151350903,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Burhaniye Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.05548461033929,41.03192862292492,151350832,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Şampiyon Spor Tesisleri,İSTANBUL,BEYBOSTANI,ÜSKÜDAR,KÜPLÜCE ,29.04595783456561,41.032826934099916,151350904,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Küplüce Parkı,İSTANBUL,NURİBEY,ÜSKÜDAR,KÜPLÜCE ,29.050721401194476,41.03372524527491,151350833,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Beylerbeyi Stadı,İSTANBUL,FISTIKLI MESCİT,ÜSKÜDAR,BEYLERBEYİ,29.04476699978276,41.0346235564499,151350777,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
Nakkaş Tepe Millet Bahçesi,İSTANBUL,GÜMÜŞYOLU,ÜSKÜDAR,KUZGUNCUK ,29.04476699978276,41.0346235564499,151350886,"[<POLYGON ((29.044 41.036, 29.044 41.036, 29.044 41.035, 29.045 41.034, 29.04...>]"
