tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mehmet İpgin İlkokulu Bahçesi/Ortaokulu Bahçesi,İSTANBUL,ÇAYIRBAŞI,SARIYER,BÜYÜKDERE,29.038563145526926,41.15903981117499,151348860,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Sarıyer Belediyesi Bahçesi (Eski Belediye Binası),İSTANBUL,ÇAYIRBAŞI,SARIYER,BÜYÜKDERE,29.038563145526926,41.15903981117499,151348864,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Maltız Deresi Yeşil Alan,İSTANBUL,ÇAYIRBAŞI,SARIYER,BÜYÜKDERE,29.038563145526926,41.15903981117499,151348863,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Vergi Dairesi Önü,İSTANBUL,DEMOKRASİ ŞEHİTLERİ,SARIYER,BÜYÜKDERE,29.039756303114746,41.15903981117499,151348865,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Sarıyer Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,KIRKLAR,SARIYER,BÜYÜKDERE,29.04094959152994,41.159938122349985,151348861,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Hikmet Bayrak Muhtar Parkı,İSTANBUL,DEREİÇİ BAĞLAR YOLU,SARIYER,BÜYÜKDERE,29.03498377088622,41.16083643352498,151348862,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Okul Önü Parkı,İSTANBUL,DEREİÇİ BAĞLAR YOLU,SARIYER,ÇAYIRBAŞI,29.03379061330062,41.16173474469997,151348845,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Kahveler Yanı Park,İSTANBUL,CUMHURİYET,SARIYER,KOCATAŞ,29.032597423005956,41.16263305587496,151348876,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Çayırbaşı Stadı,İSTANBUL,DEREİÇİ BAĞLAR YOLU,SARIYER,ÇAYIRBAŞI,29.032597423005956,41.16263305587496,151348846,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Kocataş Mahallesi Muhtarlığı Arkası Boş Alan,İSTANBUL,CUMHURİYET,SARIYER,KOCATAŞ,29.033790646011912,41.16263305587496,151348877,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Sinan Şamil Sam Parkı,İSTANBUL,ZİGANA,SARIYER,SARIYER MERKEZ,29.046916099077425,41.16263305587496,151348854,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Sarıyer Spor Kulübü Atreman Sahası,İSTANBUL,ZİGANA,SARIYER,SARIYER MERKEZ,29.048109551072816,41.163531367049956,151348856,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Kocataş Futbol Saha,İSTANBUL,CUMHURİYET,SARIYER,KOCATAŞ,29.032597455719475,41.16442967822495,151348878,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Sarıyer İlkokulu Bahçesi,İSTANBUL,AKTİF,SARIYER,SARIYER MERKEZ,29.04930303579212,41.16442967822495,151348855,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Atatürk Parkı,İSTANBUL,ÖZDEREİÇİ,SARIYER,MADEN,29.04572385754378,41.16712461174993,151348869,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
Kocataş Yeni Park,İSTANBUL,YENİ ŞEN,SARIYER,KOCATAŞ,29.042144090398743,41.16802292292492,151348875,"[<POLYGON ((29.041 41.17, 29.041 41.169, 29.041 41.168, 29.041 41.168, 29.041...>]"
