tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mustafa Böpçe Parkı,İSTANBUL,ÇİFTLİK YOLU,SİLİVRİ,BÜYÜK ÇAVUŞLU,28.02134337225904,41.18215421117499,151349183,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
Meşelik Parkı,İSTANBUL,ÇİFTLİK YOLU,SİLİVRİ,BÜYÜK ÇAVUŞLU,28.02134337225904,41.18215421117499,151349184,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
Yörük Caddesi Çocuk Parkı Ve Refüj,İSTANBUL,AYNA ÇIKMAZI,SİLİVRİ,DEĞİRMENKÖY İSMETPAŞA,28.02134337225904,41.18215421117499,151349135,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
İstasyon Caddesi Parkı,İSTANBUL,SANCAKTEPE ÇIKMAZI,SİLİVRİ,BEYCİLER,28.088185018895686,41.18305252234998,151349141,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
Ahmet Elçin Spor Sahası,İSTANBUL,SANCAKTEPE ÇIKMAZI,SİLİVRİ,BEYCİLER,28.088185018895686,41.18305252234998,151349140,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
1NO'LUTOPLANMAALANI,TEKİRDAĞ,DAĞDELEN,ÇERKEZKÖY,CUMHURİYET,28.020150415815795,41.183950833524975,63183078,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
6NO'LUTOPLANMAALANI,TEKİRDAĞ,HÜRRİYET,ÇERKEZKÖY,KIZILPINAR GÜLTEPE,28.01060621056648,41.207306924074786,63183069,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
4NO'LUTOPLANMAALANI,TEKİRDAĞ,CENGİZ TOPEL,ÇERKEZKÖY,İSTASYON,28.01060693192178,41.21090016877476,63183082,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
5NO'LUTOPLANMAALANI,TEKİRDAĞ,KOCA MEŞE,ÇERKEZKÖY,KIZILPINAR NAMIK KEMAL ,28.00463700774555,41.21629003582471,63183070,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
7NO'LUTOPLANMAALANI,TEKİRDAĞ,KOCA MEŞE,ÇERKEZKÖY,KIZILPINAR NAMIK KEMAL ,27.99866611611188,41.22257821404966,63183101,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
3NO'LUTOPLANMAALANI,TEKİRDAĞ,CENGİZ TOPEL,ÇERKEZKÖY,İSTASYON,28.00702646014281,41.223476525224655,63183083,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
7NO'LUTOPLANMAALANI,TEKİRDAĞ,CENGİZ TOPEL,ÇERKEZKÖY,İSTASYON,28.02494711002527,41.236951192849546,63183079,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
2NO'LUTOPLANMAALANI,TEKİRDAĞ,ZÜBEYDE HANIM,ÇERKEZKÖY,İSTASYON,27.999860990229273,41.23784950402454,63183084,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
6NO'LUTOPLANMAALANI,TEKİRDAĞ,CENGİZ TOPEL,ÇERKEZKÖY,İSTASYON,28.03212220269726,41.25132417164943,63183080,"[<POLYGON ((28.022 41.181, 28.023 41.182, 28.027 41.185, 28.03 41.187, 28.031...>]"
