tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yaşamkent 2 .Etap,İSTANBUL,KIŞLA,BEYLİKDÜZÜ,ADNAN KAHVECİ,28.64239470942637,40.99711511117499,151346842,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Eğitim Vadisi,İSTANBUL,KIŞLA,BEYLİKDÜZÜ,ADNAN KAHVECİ,28.64239470942637,40.99711511117499,151346840,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Osmanlı Parkı,İSTANBUL,ENVER ADAKAN,BEYLİKDÜZÜ,BARIŞ,28.64239470942637,40.99711511117499,151346674,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Aşık Mahsuni Şerif Parkı,İSTANBUL,KIŞLA,BEYLİKDÜZÜ,ADNAN KAHVECİ,28.640014362980263,40.99891173352498,151346680,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Sezen Aksu Parkı,İSTANBUL,KIŞLA,BEYLİKDÜZÜ,BÜYÜKŞEHİR,28.640014362980263,40.99891173352498,151346825,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Kışla Caddesi Parkı,İSTANBUL,KIŞLA,BEYLİKDÜZÜ,ADNAN KAHVECİ,28.638824173542346,41.00070835587496,151346689,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Cumhuriyet Parkı,İSTANBUL,ATATÜRK,BEYLİKDÜZÜ,CUMHURİYET,28.641204747084693,41.00070835587496,151346703,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Kahraman Sokak Parkı,İSTANBUL,ATATÜRK,BEYLİKDÜZÜ,BÜYÜKŞEHİR,28.645965894169386,41.00070835587496,151346822,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Cumhuriyet Caddesi Boş Alan,İSTANBUL,CUMHURİYET,BEYLİKDÜZÜ,CUMHURİYET,28.64239511497242,41.001606667049955,151346702,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
Enver Adakan Parkı 2,İSTANBUL,ENVER ADAKAN,BEYLİKDÜZÜ,BARIŞ,28.64596602395587,41.001606667049955,151346678,"[<POLYGON ((28.645 41.014, 28.644 41.014, 28.644 41.014, 28.643 41.013, 28.64...>]"
