tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ova Parkı,İSTANBUL,AHMET KILIÇ,TUZLA,CAMİ,29.30776420121805,40.81229481117499,151349491,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Okul Dinlenme Alanı.,İSTANBUL,İSTASYON,TUZLA,POSTANE,29.30776420121805,40.81229481117499,151440838,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Zabıta Parkı,İSTANBUL,İSTASYON,TUZLA,POSTANE,29.30776420121805,40.81229481117499,151349601,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Çınar Sitesi Parkı,İSTANBUL,ŞEHİTLER,TUZLA,CAMİ,29.31132490194888,40.81229481117499,151349490,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Filiz Parkı.,İSTANBUL,BALIKÇILAR,TUZLA,CAMİ,29.31488577944995,40.813193122349986,151349489,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Osman Gazi Parkı,İSTANBUL,AHMET KILIÇ,TUZLA,POSTANE,29.304203564768756,40.81409143352498,151349595,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Galatasaraylılar Parkı,İSTANBUL,ŞEHİTLER,TUZLA,İSTASYON,29.318446753381295,40.81409143352498,151349566,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Doğan Parkı,İSTANBUL,AHMET KILIÇ,TUZLA,POSTANE,29.30301664845585,40.81498974469997,151349585,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Tıp Kent Parkı,İSTANBUL,ŞEHİTLER,TUZLA,İSTASYON,29.32082138961563,40.81678636704996,151349570,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Mareşal Fevzi Çakmak Parkı,İSTANBUL,ŞULE YÜKSEL ŞENLER,TUZLA,İSTASYON,29.324382331418562,40.81678636704996,151349569,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Org. Eşref Bitlis Parkı,İSTANBUL,İSTASYON,TUZLA,POSTANE,29.308951776494084,40.81858298939994,151349593,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Akşemseddin Parkı,İSTANBUL,AYHAN,TUZLA,İSTASYON,29.314887017065317,40.819481300574935,151349561,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
Yıldırım Beyazıd Parkı,İSTANBUL,İSTASYON,TUZLA,POSTANE,29.308952065859117,40.82127792292492,151349600,"[<POLYGON ((29.324 40.818, 29.323 40.819, 29.323 40.819, 29.321 40.819, 29.31...>]"
