tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kadı Mehmet Semt Konağı,İSTANBUL,MELEK,BEYOĞLU,KADIMEHMET EFENDİ,28.964794642253302,41.03160541117499,151346867,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Haşim Osman Cami Bahçesi,İSTANBUL,PAŞA YOKUŞU,BEYOĞLU,KULAKSIZ ,28.964794642253302,41.03160541117499,151346865,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Beyoğlu Ticaret Meslek Lisesi Yanı,İSTANBUL,ŞİŞHANE,BEYOĞLU,BEDRETTİN ,28.964794642253302,41.03160541117499,151346880,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Bedrettin Mahallesi Muhtarlık Binası Önü,İSTANBUL,ŞİŞHANE,BEYOĞLU,BEDRETTİN ,28.965985487441078,41.03160541117499,151346879,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Recep Tayyip Erdoğan Stadyumu,İSTANBUL,BAHRİYE,BEYOĞLU,ÇATMA MESCİT ,28.967176332628853,41.03160541117499,151346895,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Ayhan Kocaman Parkı,İSTANBUL,MABUT LİZBUT,BEYOĞLU,KULAKSIZ ,28.962413114363848,41.032503722349986,151346866,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Aynalı Kavak Kasrı Giriş Otoparkı Ve Yanı Yeşil Alan,İSTANBUL,TAŞKIZAK TERSANESİ,BEYOĞLU,CAMİİKEBİR ,28.95526807574324,41.03430034469997,151346890,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Aynalıkavak Parkı,İSTANBUL,HASBAHÇE,BEYOĞLU,KEÇECİ PİRİ ,28.95526807574324,41.03430034469997,151346874,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Aynalıkavak Semt Konağı,İSTANBUL,HASBAHÇE,BEYOĞLU,KEÇECİ PİRİ ,28.95526807574324,41.03430034469997,151346875,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Sururi Parkı,İSTANBUL,TAHTA FIRIN,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.968367909037152,41.03430034469997,151346845,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Sururi Ortaokulu Bahçesi,İSTANBUL,TAHTA FIRIN,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.968367909037152,41.03430034469997,151346844,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
Okmeydanı Fetih Spor Tesisi,İSTANBUL,AYNALI KAVAK,BEYOĞLU,KEÇECİ PİRİ ,28.952886352876362,41.03609696704996,151346873,"[<POLYGON ((28.966 41.031, 28.968 41.032, 28.969 41.032, 28.969 41.033, 28.96...>]"
