tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yahya Kemal Sosyal Tesisleri (Eski İsmi Baki Sk. Parkı),İSTANBUL,İSTANBUL,BÜYÜKÇEKMECE,CELALİYE,28.41957310889112,41.04156461117499,151346899,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Celaliye İstasyon Caddesi Parkı,İSTANBUL,İSTANBUL,BÜYÜKÇEKMECE,CELALİYE,28.41957310889112,41.04156461117499,151439877,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Celaliye Halk Akademisi Bahçesi ( Aynı Zamanda TRANSFER ALANDIRI.),İSTANBUL,İSTANBUL,BÜYÜKÇEKMECE,CELALİYE,28.41957310889112,41.04156461117499,151346900,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Lodos Sokak Parkı,İSTANBUL,İSTANBUL,BÜYÜKÇEKMECE,CELALİYE,28.417191415799138,41.04246292234998,151346901,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Köyiçi Parkı,İSTANBUL,FİLİZ 3,BÜYÜKÇEKMECE,KAMİLOBA,28.42552965014663,41.04425954469997,151346927,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Fırın Sokak Parkı,İSTANBUL,ÇEŞMEDERE,BÜYÜKÇEKMECE,KAMİLOBA,28.426722187664318,41.04695447822495,151346926,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Zeynel Bey Bedesten Çocuk Parkı,İSTANBUL,1001.,SİLİVRİ,SELİMPAŞA,28.39217965544526,41.04875110057493,151349111,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Atatürk Meydanı,İSTANBUL,208.,SİLİVRİ,SELİMPAŞA,28.393371201291785,41.059530834674845,151349109,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Ferhan Gülan Parkı,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.392180062233056,41.07120887994975,151349159,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Cemal Yamaner Parkı,İSTANBUL,4051.,ÇATALCA,OVAYENİCE,28.395754879183976,41.073005502299736,151347024,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Hümayun Caddesi İletişim Noktası Park Alanı,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.394563333235702,41.07390381347473,151349158,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Gazi Atatürk Meydanı,İSTANBUL,4051.,ÇATALCA,OVAYENİCE,28.40052151889504,41.07480212464972,151347107,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
Ortaköy Futbol Sahası.,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.393371819861443,41.07659874699971,151349157,"[<POLYGON ((28.393 41.078, 28.393 41.077, 28.394 41.076, 28.393 41.075, 28.39...>]"
