tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Doğanyol Sokak Spor Alanı,İSTANBUL,BORA,ÇATALCA,YAZLIK,28.55332067139755,41.32789041117499,151347075,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Yazlıkköy Düğün Yeri,İSTANBUL,BORA,ÇATALCA,YAZLIK,28.55332067139755,41.32789041117499,151347076,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Balaban Köy Meydanı,İSTANBUL,MEHMETÇİK,ARNAVUTKÖY,BALABAN,28.55332067139755,41.32789041117499,151345417,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Balaban Parkı,İSTANBUL,MEHMETÇİK,ARNAVUTKÖY,BALABAN,28.561694383060598,41.32789041117499,151345418,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Celepköy Meydanı,İSTANBUL,MİRCAN,ÇATALCA,CELEPKÖY,28.543751572873113,41.328788722349984,151347103,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Boyalık Caddesi Parkı,İSTANBUL,MEHMETÇİK,ARNAVUTKÖY,BALABAN,28.564088010158553,41.328788722349984,151441216,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Örencik Meydan,İSTANBUL,KONAK,ÇATALCA,ÖRENCİK,28.528207257292287,41.338670145274904,151347070,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Örencik Caddesi Yeşil Alan,İSTANBUL,KONAK,ÇATALCA,ÖRENCİK,28.52222728930976,41.342263389974875,151347069,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Hisarbeyli Meydanı,İSTANBUL,ŞEHİT MUSTAFA ALTINAN,ÇATALCA,HİSARBEYLİ,28.48992248401771,41.349449879374816,151347086,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
Ormanlı Hisarbeyli Yolu Parkı,İSTANBUL,YAYLACIK,ÇATALCA,ORMANLI,28.4899252593955,41.37100934757464,151347097,"[<POLYGON ((28.564 41.327, 28.573 41.354, 28.565 41.366, 28.534 41.371, 28.52...>]"
