tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ihlamurkuyu Merkez Camii Bahçesi,İSTANBUL,İSTİKLAL,ÜMRANİYE,IHLAMURKUYU,29.13875855262843,41.01673471117499,151349742,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Cesur Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ALTINŞEHİR,29.13875855262843,41.01673471117499,151349616,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Şehit Numan Seref Datlı İlkokulu Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,TEPEÜSTÜ,29.13875855262843,41.01673471117499,151349831,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Birlik Sitesi Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,CEMİL MERİÇ,29.139949128942646,41.01673471117499,151349699,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Sırmagenç Sokak Boş Arazi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ALTINŞEHİR,29.14113970525686,41.01673471117499,151349615,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Lale Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ALTINŞEHİR,29.143520857885292,41.01673471117499,151349606,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Şehit Ahmet Üvenç Parkı,İSTANBUL,KADİFE,ÜMRANİYE,CEMİL MERİÇ,29.144711434199507,41.01673471117499,151349701,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Şanlı Parkı,İSTANBUL,KOÇYİĞİT,ÜMRANİYE,ADEM YAVUZ,29.148283163142153,41.01673471117499,151349785,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Tevhid Cami Bahçesi,İSTANBUL,KOÇYİĞİT,ÜMRANİYE,ADEM YAVUZ,29.148283163142153,41.01673471117499,151349788,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Trabzon Park Millet Bahçesi,İSTANBUL,SAĞLAM,ÜMRANİYE,CEMİL MERİÇ,29.141139900102814,41.01942964469997,151349876,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Ulukent Sokak Boş Arazi,İSTANBUL,ŞAİR,ÜMRANİYE,ADEM YAVUZ,29.147093317533354,41.021226267049954,151441119,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Yenipark,İSTANBUL,AY,ÜMRANİYE,ADEM YAVUZ,29.147093609861884,41.02302288939994,151349792,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Akasya Parkı,İSTANBUL,AY,ÜMRANİYE,ADEM YAVUZ,29.150665679815845,41.02302288939994,151349786,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Dereyolu Sokak Boş Arazi,İSTANBUL,SEVAL,ÜMRANİYE,CEMİL MERİÇ,29.142330931131145,41.02392120057493,151349877,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Ihlamurkuyu Mezarlığı Ormanı,İSTANBUL,MEHMET AKİF,ÜMRANİYE,CEMİL MERİÇ,29.142331012342716,41.024819511749925,151349702,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
İpek Parkı.,İSTANBUL,ORHANGAZİ,ÜMRANİYE,PARSELLER,29.14828462468543,41.024819511749925,151349627,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Nil Çocuk Parkı,İSTANBUL,CUMA,ÜMRANİYE,PARSELLER,29.147094925668036,41.031107689974874,151349628,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
Merkez Mahallesi Ormanı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,MERKEZ,29.14709536438932,41.03380262349985,151347120,"[<POLYGON ((29.151 41.016, 29.151 41.016, 29.151 41.016, 29.151 41.016, 29.15...>]"
