tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ali Ekber Karagöz Parkı,İSTANBUL,KÖROĞLU,KARTAL,CEVİZLİ,29.17718099631748,40.90805611117499,151348444,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Şehit Eren Bülbül Parkı.,İSTANBUL,KÖROĞLU,KARTAL,ATALAR,29.17718099631748,40.90805611117499,151348371,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Şehit Göksal Mustafa Ağaç Yetiştiren Parkı,İSTANBUL,KÖROĞLU,KARTAL,ATALAR,29.17718099631748,40.90805611117499,151348368,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Mehmet Ali Büklü Parkı,İSTANBUL,ÇANAKKALE,KARTAL,ESENTEPE,29.178369613747922,40.90805611117499,151348438,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Anafartalar Parkı,İSTANBUL,KÖROĞLU,KARTAL,CEVİZLİ,29.177181270828715,40.908954422349986,151348445,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Çifteler Turgut Alp Kaplan Parkı,İSTANBUL,ÖZMEN,KARTAL,CEVİZLİ,29.178369904406875,40.908954422349986,151348448,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Buz&Kaykay Pisti,İSTANBUL,ÇANAKKALE,KARTAL,ESENTEPE,29.178369904406875,40.908954422349986,151348579,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Cevizli Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,KÖROĞLU,KARTAL,ATALAR,29.17480424589922,40.90985273352498,151348359,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Şehit Er Yıldıray Biroğlu İlkokulu Bahçesi,İSTANBUL,HAN,KARTAL,CEVİZLİ,29.178370195079065,40.90985273352498,151348461,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Esentepe Kültür Fazilet Cami Bahçesi,İSTANBUL,ÇANAKKALE,KARTAL,ESENTEPE,29.180747494532294,40.90985273352498,151348430,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Zabıta Müdürlüğü Boş Alanları,İSTANBUL,ESKİBAHÇE,KARTAL,CEVİZLİ,29.18193614425891,40.90985273352498,151348462,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Komşuluk ve Dayanışma Meydanı,İSTANBUL,SARAYLAR,KARTAL,ORHANTEPE,29.171238490509577,40.91075104469997,151348558,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Kavaklı Cami Bahçesi,İSTANBUL,İZMİR,KARTAL,CEVİZLİ,29.171238490509577,40.91075104469997,151348452,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
Kazım Karabekir Parkı.,İSTANBUL,ANAFARTALAR,KARTAL,CEVİZLİ,29.17599315401277,40.91075104469997,151348458,"[<POLYGON ((29.159 40.913, 29.16 40.913, 29.161 40.913, 29.161 40.912, 29.162...>, <POLYGON ((29.139 40.918, 29.14 40.918, 29.142 40.917, 29.144 40.916, 29.146...>]"
