tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cihangir Parkı,İSTANBUL,HAVYAR,BEYOĞLU,CİHANGİR ,28.984107443422435,41.03150781117499,151346872,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Sanatkarlar Parkı,İSTANBUL,YENİ YUVA,BEYOĞLU,KILIÇALİ PAŞA ,28.984107443422435,41.03150781117499,151346855,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Namık Kemal İlkokulu Bahçesi.,İSTANBUL,SELİME HATUN CAMİİ,BEYOĞLU,ÖMER AVNİ ,28.984107443422435,41.03150781117499,151346888,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Taksim Gezi Parkı,İSTANBUL,KAZANCI YOKUŞU,BEYOĞLU,GÜMÜŞSUYU ,28.98529835184046,41.033304433524975,151346864,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Avcılar Belediyesi Termimal Arkası,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.70453413392451,40.98134711117499,151345650,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Avcılar Belediyesi Çocuk Evi Bahçesi,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.70453413392451,40.98134711117499,151345652,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Şehit J. Er Erdoğan Akçıkrık Parkı Karşısı,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.70453413392451,40.98134711117499,151345656,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Şehit J. Er Erdoğan Akçıkrık Parkı,İSTANBUL,OSMANPAŞA,AVCILAR,CİHANGİR,28.708103945793543,40.98134711117499,151345657,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Mehmet Baydar Anadolu Lisesi Bahçesi,İSTANBUL,REŞİTPAŞA,AVCILAR,AMBARLI,28.70929388308322,40.98134711117499,151345696,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Avcılar Saide Zorlu Ticaret Meslek Lisesi Bahçesi,İSTANBUL,REŞİTPAŞA,AVCILAR,AMBARLI,28.710483820372897,40.98134711117499,151345698,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
Avcılar Saide Zorlu Ticaret Meslek Lisesi Karşısı,İSTANBUL,REŞİTPAŞA,AVCILAR,CİHANGİR,28.714053632241928,40.98134711117499,151345662,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
İnönü Ortaokulu Bahçesi,İSTANBUL,REŞİTPAŞA,AVCILAR,AMBARLI,28.714053632241928,40.98134711117499,151345701,"[<POLYGON ((28.985 41.036, 28.985 41.035, 28.985 41.034, 28.984 41.034, 28.98...>, <POLYGON ((28.718 40.988, 28.712 40.991, 28.711 40.992, 28.708 40.994, 28.70...>]"
