tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yıldız Teknik Üniversitesi Davutpaşa Kampüsü ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DAVUTPAŞA,GÜNGÖREN,GENÇOSMAN,28.89022062081024,41.030776911174996,151347363,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Şehit Türkmen Tekin Parkı,İSTANBUL,YILDIZ,ESENLER,ÇİFTE HAVUZLAR,28.89022062081024,41.030776911174996,151347351,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Ayvalıdere İlkokulu Bahçesi,İSTANBUL,62.,ESENLER,DAVUTPAŞA,28.89022062081024,41.030776911174996,151347314,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
İbrahim Turhan Parkı,İSTANBUL,İSTANBUL,ESENLER,YAVUZ SELİM,28.889029839351473,41.03167522234999,151347306,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Esenler Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,SEMERKANT,ESENLER,DAVUTPAŞA,28.890220685801964,41.03167522234999,151347315,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
İbni Sina Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DAVUTPAŞA,GÜNGÖREN,GENÇOSMAN,28.887839025398314,41.03257353352498,151348004,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Gaziler İmam Hatip Ortaokulu Bahçesi,İSTANBUL,DAVUTPAŞA,GÜNGÖREN,GENÇOSMAN,28.887839025398314,41.03257353352498,151348000,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
İbrahim Turhan Anadolu Lisesi Bahçesi,İSTANBUL,İSTANBUL,ESENLER,YAVUZ SELİM,28.889029888097472,41.03257353352498,151347307,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Ayvalıdere Ortaokulu Bahçesi,İSTANBUL,52.,ESENLER,DAVUTPAŞA,28.892602476194945,41.03257353352498,151439628,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Şehit Yakup Polat Parkı,İSTANBUL,YENİCE,ESENLER,NAMIK KEMAL,28.89498420159326,41.03257353352498,151347304,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Yeşil Camii Bahçesi,İSTANBUL,KEVSER,GÜNGÖREN,GENÇOSMAN,28.88664817894856,41.033471844699974,151347997,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
İbrahim Turhan Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,İSTANBUL,ESENLER,YAVUZ SELİM,28.887839057897118,41.033471844699974,151439654,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
Yavuz Selim Parkı ve Yanı Otoparkı,İSTANBUL,İSTANBUL,ESENLER,YAVUZ SELİM,28.890220815794237,41.033471844699974,151347308,"[<POLYGON ((28.886 41.034, 28.885 41.034, 28.886 41.034, 28.887 41.033, 28.88...>]"
