tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karacaköy Caddesi Spor Alanı,İSTANBUL,BAHÇEDERE,ÇATALCA,DAĞYENİCE,28.465636070094792,41.25245471117499,151347066,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Akkaya Sokak Spor Alanı,İSTANBUL,KAZAN,ÇATALCA,SUBAŞI,28.465636070094792,41.25245471117499,151347089,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Çanakça Köy Meydanı,İSTANBUL,GÜNGÖR,ÇATALCA,ÇANAKÇA,28.465636070094792,41.25245471117499,151347090,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Çanakça Spor Alanı,İSTANBUL,GÜNGÖR,ÇATALCA,ÇANAKÇA,28.469220935866367,41.253353022349984,151347091,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Yedievler Sokak Spor Alanı,İSTANBUL,ÇAMAŞIRDERE,ÇATALCA,SUBAŞI,28.45368758004747,41.25425133352498,151347088,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Oklalı Meydanı,İSTANBUL,KAZAN,ÇATALCA,OKLALI,28.45727226508307,41.25425133352498,151347094,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Şamdan Sokak Spor Alanı,İSTANBUL,DAĞYENİCE,ÇATALCA,KALFA,28.452492734332306,41.25514964469997,151347087,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Belediye Düğün ve Spor Alanı,İSTANBUL,ÖZDENİZ,ÇATALCA,AKALAN,28.45129798723296,41.25964120057493,151347106,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Yazlıkköy Düğün Yeri,İSTANBUL,YETKİN,ÇATALCA,YAZLIK,28.501497123485247,41.27131924584984,151347076,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Doğanyol Sokak Spor Alanı,İSTANBUL,BOTANİK,ÇATALCA,YAZLIK,28.511060492766415,41.273115868199824,151347075,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Örencik Caddesi Yeşil Alan,İSTANBUL,KARACAKÖY,ÇATALCA,ÖRENCİK,28.46564389698953,41.282997291124744,151347069,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
Örencik Meydan,İSTANBUL,KONUT,ÇATALCA,ÖRENCİK,28.478798056798453,41.292878714049664,151347070,"[<POLYGON ((28.488 41.308, 28.488 41.308, 28.485 41.308, 28.485 41.308, 28.48...>]"
