tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bağcılar Cemil Meriç Ortaokulu Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.841882421410748,41.043596411174995,151345908,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
İstiklal İlkokulu Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.841882421410748,41.043596411174995,151345911,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Fındık Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.841882421410748,41.043596411174995,151345899,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Evliya Çelebi İlkokulu Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,DEMİRKAPI,28.845455607833973,41.043596411174995,151345974,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Dr. Cemil-Fevziye Özkaya Ortaokulu Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,DEMİRKAPI,28.845455607833973,41.043596411174995,151345973,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Bağcılar Çiftlik Meydan,İSTANBUL,BİRLİK,BAĞCILAR,YAVUZ SELİM,28.845455607833973,41.043596411174995,151345867,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Molla Hüsrev Parkı,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.83473611359806,41.04449472234999,151345902,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Halk Sarayı Yanı Açık Otopark,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.83473611359806,41.04449472234999,151345901,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Genç Gökhan Özbek Parkı,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.83473611359806,41.04449472234999,151345900,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Haypader Özel Eğitim Uygulama Okulu I. Kademe Bahçesi,İSTANBUL,BAĞCILAR ASFALTI,BAĞCILAR,YENİMAHALLE,28.840691505595633,41.04449472234999,151345909,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
Ceviz Bahçesi,İSTANBUL,1685.,BAĞCILAR,DEMİRKAPI,28.841882583995147,41.04449472234999,151345967,"[<POLYGON ((28.846 41.043, 28.846 41.043, 28.847 41.043, 28.847 41.043, 28.84...>]"
