tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mithat Paşa Ağaçlandırma Alanı,İSTANBUL,DENİZYOLU,BEYLİKDÜZÜ,DEREAĞZI,28.618512239715958,40.96159131117499,151346779,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Onurlu Sokak Parkı,İSTANBUL,DENİZYOLU,BEYLİKDÜZÜ,DEREAĞZI,28.618512239715958,40.96159131117499,151346782,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Erdinç Sokak Parkı,İSTANBUL,DENİZYOLU,BEYLİKDÜZÜ,DEREAĞZI,28.618512239715958,40.96159131117499,151346758,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Özkan Sokak Parkı,İSTANBUL,BOSTAN,BEYLİKDÜZÜ,DEREAĞZI,28.61970182075364,40.96159131117499,151346784,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Etikent Sitesi,İSTANBUL,FENER,BEYLİKDÜZÜ,DEREAĞZI,28.622080982829004,40.96159131117499,151346759,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Demokrasi Parkı,İSTANBUL,DENİZYOLU,BEYLİKDÜZÜ,DEREAĞZI,28.629218469055097,40.96159131117499,151346756,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Yedi Kardeşler Cami Karşısı,İSTANBUL,TEST33,BEYLİKDÜZÜ,DEREAĞZI,28.599478991687096,40.962489622349985,151346792,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Mithatpaşa Cd. Ağaçlandırma Alanı,İSTANBUL,TEST33,BEYLİKDÜZÜ,DEREAĞZI,28.599478991687096,40.962489622349985,151346780,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Kumru Sokak Parkı,İSTANBUL,TEST33,BEYLİKDÜZÜ,DEREAĞZI,28.599478991687096,40.962489622349985,151346771,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
Yaşam Vadisi 6. Etap 1,İSTANBUL,KOCATEPE,BEYLİKDÜZÜ,KAVAKLI,28.631598602633446,40.96338793352498,151346754,"[<POLYGON ((28.614 40.991, 28.614 40.991, 28.614 40.991, 28.614 40.991, 28.61...>]"
