tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Necip Fazıl Kısakürek İlköğretim Bahçesi,İSTANBUL,PAMUK,BEYKOZ,ELMALI,29.134291897317173,41.14571921117499,151439799,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Dereseki Futbol Sahası ve Çevresi,İSTANBUL,SUGÖZÜ ÇIKMAZI,BEYKOZ,DERESEKİ,29.134291897317173,41.14571921117499,151346607,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Örnekköy Futbol Sahası,İSTANBUL,BAŞYAYLA ÇIKMAZI,BEYKOZ,ÖRNEKKÖY,29.134291897317173,41.14571921117499,151346563,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Özel Beykoz Doğa İlkokulu-Ortaokulu Bahçesi,İSTANBUL,KIRKLAR ÇIKMAZI,BEYKOZ,DERESEKİ,29.127134520644717,41.146617522349985,151346608,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
23 Nisan 100. Yıl Çocuk Parkı,İSTANBUL,TINAZ YOLU,BEYKOZ,AKBABA,29.127134520644717,41.146617522349985,151439797,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Bibi Genceli İlköğretim Okulu Bahçesi,İSTANBUL,TARLAKUŞU ÇIKMAZI,BEYKOZ,ÖRNEKKÖY,29.14622180086837,41.14751583352498,151346564,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Zerzevatçı Mahallesi Camii Bahçesi,İSTANBUL,ZERZEVATCI YOLU,BEYKOZ,ZERZAVATÇI,29.153380436019802,41.14931245587496,151346589,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
125/2 Yerde Bulunan Meydan,İSTANBUL,ŞİRİNDERE,BEYKOZ,ZERZAVATÇI,29.164117882116518,41.150210767049956,151346588,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Derekenarı Yürüyüş Yolu,İSTANBUL,SELİMOĞLU ÖZTÜRK ÇIKMAZI,BEYKOZ,MAHMUTŞEVKETPAŞA,29.16531151651359,41.15110907822495,151346594,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Mahmut Şevket Paşa Mahallesi Selam Cami Bahçesi,İSTANBUL,SELİMOĞLU ÖZTÜRK ÇIKMAZI,BEYKOZ,MAHMUTŞEVKETPAŞA,29.16531151651359,41.15110907822495,151346650,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Mahmut Şevket Paşa Parkı,İSTANBUL,DOLAPDERE,BEYKOZ,MAHMUTŞEVKETPAŞA,29.177258477518542,41.169973612899796,151346593,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
Ali Bahadır C Tipi Mesire Alanı,İSTANBUL,RİVA,BEYKOZ,ALİBAHADIR,29.17606590623222,41.17087192407479,151346637,"[<POLYGON ((29.132 41.146, 29.133 41.146, 29.133 41.146, 29.134 41.146, 29.13...>]"
