tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Azerbaycan Dostluk Parkı,İSTANBUL,HAKKI YETEN,BEŞİKTAŞ,DİKİLİTAŞ,29.0022835341986,41.051841711174994,151346437,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Ihlamur Kasrı (Beşiktaş),İSTANBUL,HAKKI YETEN,ŞİŞLİ,TEŞVİKİYE,29.0022835341986,41.051841711174994,151439794,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Çetin Emeç Parkı,İSTANBUL,HAKKI YETEN,BEŞİKTAŞ,DİKİLİTAŞ,29.0022835341986,41.051841711174994,151346440,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Dünya Barış Parkı,İSTANBUL,IHLAMUR YILDIZ,BEŞİKTAŞ,TÜRKALİ,29.003474745598133,41.051841711174994,151346480,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Yenidoğan Sok. Parkı,İSTANBUL,ÜZENGİ,BEŞİKTAŞ,DİKİLİTAŞ,29.007048379796732,41.051841711174994,151346439,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Manolya Parkı,İSTANBUL,ÜZENGİ,BEŞİKTAŞ,DİKİLİTAŞ,29.007048379796732,41.051841711174994,151346443,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Cihannüma Parkı,İSTANBUL,YILDIZ,BEŞİKTAŞ,CİHANNÜMA,29.007048379796732,41.051841711174994,151346471,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Eren Sokak Yeşil alanı,İSTANBUL,EREN,BEŞİKTAŞ,DİKİLİTAŞ,29.00823972131787,41.05274002234999,151346442,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Haydar Aliyev Parkı,İSTANBUL,YEŞİLÇİMEN,ŞİŞLİ,FULYA,28.999901143930675,41.05363833352498,151350643,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Muhtar Abdullah Sızmaz Parkı,İSTANBUL,ÇİTLENBİK ÇIKMAZI,BEŞİKTAŞ,DİKİLİTAŞ,29.00109238786135,41.05363833352498,151346438,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Mukataacı Sokak Parkı,İSTANBUL,DİKİLİTAŞ,BEŞİKTAŞ,DİKİLİTAŞ,29.003474940789395,41.05453664469997,151346441,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Şehit J.Komd.Çvş.Ümit Sabri Mıhçılar Çocuk Parkı,İSTANBUL,YEŞİLÇİMEN,ŞİŞLİ,FULYA,28.99990117646476,41.055434955874965,151350645,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Otim Otoparkı Bülent Tercan Sokak,İSTANBUL,YEŞİLÇİMEN,ŞİŞLİ,FULYA,28.99990117646476,41.055434955874965,151350650,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Fulya Yeni Cami Bahçesi (Uygar Sokak),İSTANBUL,YEŞİLÇİMEN,ŞİŞLİ,FULYA,29.001092518003595,41.05723157822495,151350648,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Dutluk Parkı ve Hüseyin Aycibin İlköğretim Okulu Bahçesi,İSTANBUL,AYAZMADERESİ,BEŞİKTAŞ,GAYRETTEPE,29.004666526357088,41.05812988939994,151346475,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Gayrettepe Muhtarlık Yeşil Alanı,İSTANBUL,AYAZMADERESİ,BEŞİKTAŞ,GAYRETTEPE,29.00585804687727,41.05992651174993,151346474,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
Çevre Kültür Parkı,İSTANBUL,AYAZMADERESİ,BEŞİKTAŞ,GAYRETTEPE,29.00585804687727,41.05992651174993,151346473,"[<POLYGON ((28.999 41.056, 28.999 41.055, 29 41.054, 29.002 41.051, 29.004 41...>]"
