tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Seymen Sokak Parkı,İSTANBUL,BARUTHANE,ŞİŞLİ,FERİKÖY,28.98246775958329,41.05203481117499,151350554,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Kurtuluş Anadolu Lisesi Bahçesi( Bozkurt Cad.-Seymen Sok. Kesişen Köşe),İSTANBUL,BARUTHANE,ŞİŞLİ,FERİKÖY,28.98246775958329,41.05203481117499,151350556,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Taksim Spor Kulübü Sahası (Seymen Sok Sonu),İSTANBUL,BARUTHANE,ŞİŞLİ,FERİKÖY,28.98246775958329,41.05203481117499,151350561,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
St.Michel Fransız Lisesi Bahçesi,İSTANBUL,ERGENEKON,ŞİŞLİ,CUMHURİYET,28.983658974479113,41.05203481117499,151350588,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Feriköy Stadı,İSTANBUL,EVRENOSZADE,ŞİŞLİ,DUATEPE,28.97889413116118,41.052933122349984,151350652,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Evronezzade Sokak Parkı,İSTANBUL,EVRENOSZADE,ŞİŞLİ,YAYLA,28.97889413116118,41.052933122349984,151350610,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Ortanca Parkı.,İSTANBUL,EVRENOSZADE,ŞİŞLİ,DUATEPE,28.97889413116118,41.052933122349984,151350651,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Mahmut Şevket Paşa Ortaokulu Bahçesi,İSTANBUL,BARUTHANE,ŞİŞLİ,FERİKÖY,28.98008536232236,41.052933122349984,151350558,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Lider Şişli Koleji Bahçesi ve Yanı,İSTANBUL,ERGENEKON,ŞİŞLİ,CUMHURİYET,28.983659055805898,41.052933122349984,151350589,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Kuyu Sokak Parkı,İSTANBUL,ORTANCA,ŞİŞLİ,PAŞA,28.978894147427276,41.05383143352498,151350629,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Açık Pazar,İSTANBUL,ERGENEKON,ŞİŞLİ,CUMHURİYET,28.981276642281827,41.05383143352498,151350587,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
Çocuk Parkı (Kuyu-1 Sokak Sonu),İSTANBUL,ORTANCA,ŞİŞLİ,PAŞA,28.97889416369411,41.05472974469997,151350624,"[<POLYGON ((28.979 41.053, 28.979 41.053, 28.983 41.051, 28.984 41.053, 28.98...>]"
