tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Botaş Parkı,İSTANBUL,D 100,PENDİK,DOĞU,29.25012766322605,40.881693511174994,151350289,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Pendik Millet Bahçesi,İSTANBUL,TEVFİK İLERİ,PENDİK,DUMLUPINAR,29.25012766322605,40.881693511174994,151350298,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Tavşantepe Metro Güney Otoparkı,İSTANBUL,D 100,PENDİK,DOĞU,29.25012766322605,40.881693511174994,151350214,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Şehit Yaşar Bayraktar Parkı,İSTANBUL,D 100,PENDİK,KAYNARCA,29.251315807097058,40.881693511174994,151350250,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Tevfik İleri İmam Hatip Ortaokulu Bahçesi,İSTANBUL,D 100,PENDİK,DOĞU,29.247751439989177,40.88259182234999,151350213,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Abdurrahmangazi Ortaokulu Bahçesi,İSTANBUL,D 100,PENDİK,BAHÇELİEVLER,29.246563328372947,40.88349013352498,151350169,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Şehit Yaşar Uçar Parkı,İSTANBUL,D 100,PENDİK,BAHÇELİEVLER,29.245375184504123,40.88438844469997,151350173,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Dumlupınar Parkı,İSTANBUL,İYİLİK,PENDİK,DUMLUPINAR,29.252504338016497,40.88438844469997,151350199,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Pendik Gözdağı Korusu Parkı,İSTANBUL,İYİLİK,PENDİK,DUMLUPINAR,29.252504338016497,40.88438844469997,151350201,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
Ahmet Kutsi Tecer İlkokulu Bahçesi,İSTANBUL,TEVFİK İLERİ,PENDİK,ORTA,29.24418700838054,40.885286755874965,151350310,"[<POLYGON ((29.252 40.896, 29.25 40.896, 29.249 40.896, 29.248 40.895, 29.248...>, <POLYGON ((29.055 40.989, 29.056 40.989, 29.057 40.988, 29.058 40.988, 29.05...>, <POLYGON ((29.09 41.043, 29.09 41.043, 29.091 41.044, 29.091 41.044, 29.091 ...>]"
