tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Adnan Kahveci Parkı,İSTANBUL,MÜREKKEP,ARNAVUTKÖY,HADIMKÖY,28.635233769967982,41.168165311174995,151345392,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Şerife Bacı Parkı,İSTANBUL,MÜREKKEP,ARNAVUTKÖY,HADIMKÖY,28.635233769967982,41.168165311174995,151345390,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Barbaros Parkı,İSTANBUL,MÜREKKEP,ARNAVUTKÖY,HADIMKÖY,28.635233769967982,41.168165311174995,151345384,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Süleymaniye Parkı,İSTANBUL,HADIMKÖY-DURSUNKÖY,ARNAVUTKÖY,HADIMKÖY,28.631654485897773,41.16996193352498,151345391,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Köroğlu Parkı,İSTANBUL,AKTİF,ARNAVUTKÖY,HADIMKÖY,28.626882450946106,41.174453489399944,151345389,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Cahit Sıtkı Tarancı Parkı,İSTANBUL,AKTİF,ARNAVUTKÖY,HADIMKÖY,28.62568979826611,41.17714842292492,151345385,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Kazım Öztürk Parkı,İSTANBUL,AKTİF,ARNAVUTKÖY,HADIMKÖY,28.62688328565774,41.17714842292492,151345387,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Çerez Sokak Parkı,İSTANBUL,AKTİF,ARNAVUTKÖY,HADIMKÖY,28.623303281807843,41.17894504527491,151345394,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Dursunköy Parkı,İSTANBUL,HADIMKÖY-DURSUNKÖY,ARNAVUTKÖY,DURSUNKÖY,28.642400586087938,41.18074166762489,151345340,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Bayındır Caddesi Parkı,İSTANBUL,DR. SADIK AHMET,ARNAVUTKÖY,HADIMKÖY,28.61733612316852,41.181639978799886,151345393,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Çilingir Meydan Parkı,İSTANBUL,ERGENE,ARNAVUTKÖY,ÇİLİNGİR,28.64956367149138,41.18343660114987,151345444,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Akpınar Mesire Alanı,İSTANBUL,BAYINDIR,ARNAVUTKÖY,YASSIÖREN,28.613756496248776,41.191521401724806,151441270,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Şehit Jandarma Asteğmen Ali Yılmaz Parkı,İSTANBUL,DR. SADIK AHMET,ARNAVUTKÖY,HADIMKÖY,28.612563238337543,41.19691126877476,151345395,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Hazerfen Parkı,İSTANBUL,BAĞDAT,ARNAVUTKÖY,FATİH ,28.65793156342752,41.19960620229974,151345407,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Hasan Polatkan Parkı,İSTANBUL,AYDIN SAYILI,ARNAVUTKÖY,ADNAN MENDERES,28.671075049883484,41.21038593639965,151345416,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Yassı Ören Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,YASSIÖREN,28.607788126308847,41.21218255874964,151345452,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Baklalı Parkı,İSTANBUL,DURSUNKÖY-BAKLALI,ARNAVUTKÖY,BAKLALI,28.646001250442293,41.213979181099624,151345435,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Sultan Mehmet Parkı,İSTANBUL,KÖROĞLU,ARNAVUTKÖY,FATİH ,28.669886170845825,41.21577580344961,151345406,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Boyalık Parkı,İSTANBUL,DURSUNKÖY-BOYALIK,ARNAVUTKÖY,BOYALIK,28.640032750967677,41.21847073697459,151345441,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
Tayakadın Parkı,İSTANBUL,TAYAKADIN-ÇİLİNGİR,ARNAVUTKÖY,TAYAKADIN,28.66393332634121,41.23643696047444,151345442,"[<POLYGON ((28.635 41.167, 28.636 41.168, 28.637 41.168, 28.638 41.169, 28.64...>]"
