tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İBB Şeyh Raşit Parkı,İSTANBUL,ŞEYH RAŞİT,EYÜPSULTAN,TOPÇULAR,28.926212922561906,41.042212411174994,151347509,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Şehit Cemal Demir Parkı (Muhtarlık Yanı),İSTANBUL,ŞEYH RAŞİT,EYÜPSULTAN,TOPÇULAR,28.926212922561906,41.042212411174994,151347508,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Şehit Kubilay Parkı,İSTANBUL,ŞEYH RAŞİT,EYÜPSULTAN,TOPÇULAR,28.926212922561906,41.042212411174994,151347505,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
İBB Şeyh Raşit Parkı,İSTANBUL,ALP,EYÜPSULTAN,DÜĞMECİLER,28.927403959655557,41.042212411174994,151347535,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Eyüp Stadı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.928595126807632,41.04311072234999,151347590,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Düğmeciler Parkı,İSTANBUL,ŞEYH RAŞİT,EYÜPSULTAN,DÜĞMECİLER,28.922639908826977,41.04400903352498,151347534,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Rami Pazar Alanı,İSTANBUL,TALİMHANE,EYÜPSULTAN,RAMİ YENİ,28.92025778586777,41.04490734469997,151439981,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Hz. Halid Parkı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.92859538694216,41.04490734469997,151347589,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Amcazade Vakfı Arazisi,İSTANBUL,EYÜP SULTAN,EYÜPSULTAN,NİŞANCI,28.92978647280993,41.04490734469997,151347521,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Arif Paşa Parkı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.928595517018262,41.045805655874965,151347588,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
Bir Nefes Parkı,İSTANBUL,GAZİ ETHEMPAŞA,EYÜPSULTAN,RAMİ YENİ,28.92025781838753,41.04670396704996,151347522,"[<POLYGON ((28.928 41.041, 28.928 41.042, 28.929 41.043, 28.929 41.044, 28.93...>]"
