tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gazi Atatürk Meydanı,İSTANBUL,BAKİ,ÇATALCA,OVAYENİCE,28.416505224272107,41.114466411174995,151347107,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Cemal Yamaner Parkı,İSTANBUL,BAKİ,ÇATALCA,OVAYENİCE,28.416505224272107,41.114466411174995,151347024,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Elbasan Köy Meydanı,İSTANBUL,BAKİ,ÇATALCA,ELBASAN,28.416505224272107,41.114466411174995,151347108,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Pazar Alanı(Kadıköy Caddesi),İSTANBUL,GÜLŞAH,ÇATALCA,ELBASAN,28.412930141133334,41.11716134469997,151347059,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Altınbaş Sokak Spor Alanı,İSTANBUL,ELBASAN,ÇATALCA,ÇAKIL,28.424861446249853,41.12524614527491,151347025,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,KADIKÖY,SİLİVRİ,KADIKÖY,28.399819938717684,41.12883938997488,151349093,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Kaleiçi Mahallesi Yeşil Alan (1-Ada-1-Parsel),İSTANBUL,TOMURCUK,ÇATALCA,KALEİÇİ,28.417713373408294,41.134229257024835,151347056,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Çınar Çocuk Parkı,İSTANBUL,BEŞ KAVAKLAR,ÇATALCA,KALEİÇİ,28.42248498224541,41.13512756819983,151347048,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Arif Nihat Asya Parkı (İnceğiz Meydan),İSTANBUL,İNCEĞİZ,ÇATALCA,İNCEĞİZ,28.40221578986349,41.147703924649726,151347104,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
İnceğiz Yeşil Alan,İSTANBUL,İNCEĞİZ,ÇATALCA,İNCEĞİZ,28.38909724927284,41.15848365874964,151347105,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Leyla Kavak Caddesi Spor Sahası,İSTANBUL,CEDİD ALİPAŞA,SİLİVRİ,AKÖREN,28.36881472399152,41.17644988224949,151437334,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,HANİCE,ÇATALCA,KABAKÇA,28.377169701395,41.180043126949464,151347084,"[<POLYGON ((28.433 41.14, 28.433 41.14, 28.432 41.142, 28.431 41.143, 28.43 4...>]"
